Video ID,Date Posted,Face Count,View Count
Xn9xwU14roo,2025-07-18,0,432038
L5NlRppCIj4,2025-07-18,0,581124
PYsBV7pd_kw,2025-07-18,0,673759
I-e45XIG1rw,2025-07-18,0,376422
7aWt6DhQxRA,2025-07-18,0,569465
DntM0heR0fI,2025-07-18,0,347238
EX_zAdFNKxg,2025-07-18,0,633581
4uoxNTDLg9g,2025-07-18,0,382377
APS8tD8zzwk,2025-07-18,0,466327
1AHX565ry7Q,2025-07-18,0,969269
3Z4DhSolenA,2025-07-18,0,663161
aGfWRMDMf1Q,2025-07-18,0,751994
w9ncw2BBLUc,2023-07-01,0,254151
0xGCHdpdAtw,2023-07-01,0,2920145
FQ24AlLkzCc,2023-07-01,0,2334334
BgRLGem3c8U,2023-07-01,0,225175
rmhho_lxk3o,2023-07-01,0,401987
UkuvHAZmDQI,2023-07-01,0,373832
YTkMiCzWoZg,2023-07-01,0,138692
rh7z9vk3XEE,2023-07-01,0,164478
yOzCduoVSmA,2023-07-01,0,137122
ygPDo-aFW_k,2023-07-01,0,2277282
o6CdyFsmZJE,2023-07-01,0,130651
Kjo7Q7e1faI,2023-07-01,0,6568868
eKmv4MNttO0,2023-07-01,0,100181
dRY3J-zd2r8,2023-07-01,0,221582
URC_-dPJj1Q,2023-07-01,0,1885738
MGOzWCGT97o,2023-07-01,0,10099871
I1sX2oAWmaA,2023-07-01,0,154835
lwAHfOhOONw,2023-06-09,0,51005677
3Rh57WwV8H0,2023-05-12,0,13520379
-c0SZFC3clw,2022-09-23,0,3439048
e2C0usZmdME,2022-06-10,0,5505623
n2PC4JEcjAI,2022-06-10,0,4062104
TGYIa5HTTsY,2022-06-10,0,2379683
a4YwJCZRh5M,2022-06-10,0,176997352
BquRi4JAmuw,2022-06-10,0,2486126
Q4eLCp_MPf4,2022-06-10,0,2957993
hEWEhWABNGs,2022-06-10,0,1955977
JUQhlskWySs,2022-06-10,0,1289896
-ZMKdfM27uA,2022-06-10,0,1323080
uaFalZ8942s,2022-06-10,0,2332292
VKoos2VNSh0,2022-06-10,0,2082277
KIVWOe1MHkY,2022-06-10,0,2676908
-arpDPW9mIY,2022-06-10,0,1850354
DE3qvZXYuHM,2022-06-10,0,2566964
DJnMyvPVMmM,2022-06-10,0,1956757
5RzKg4j7WTA,2022-06-10,0,2598163
68YNNXEqFR0,2022-06-10,0,2499656
6As6DOG6saY,2022-06-10,0,2939154
1cZGOnHVz4c,2022-06-10,0,1104720
Fhj8MRp2QBk,2022-06-10,0,6130313
4CSioxKTKPM,2022-06-10,0,2923878
O-fBGbhmNk4,2022-06-10,0,4735530
PCupTKYKpmE,2022-06-10,0,40128809
FD01UuaEpAA,2022-06-10,0,2227927
TbjUXK2M5n8,2022-06-10,0,20250235
jW_vnhndKdI,2022-06-10,0,2614665
82YCgGc9bDw,2022-06-10,0,1576126
t8_T7vKjluw,2022-06-10,0,2603091
PhIVhGbK6Y4,2022-06-10,0,2826245
LaaXdTqUnp8,2022-06-10,0,1418566
FHH3pGYQe9s,2022-06-10,0,2058938
cPynVaEmx1A,2022-06-10,0,3569259
Kh0OF8ZE8co,2022-06-10,0,39672156
DHycmwZxQ0w,2022-06-10,0,1574239
FikUbNZhD6M,2022-06-10,0,1831970
9Hvy8KpTWGU,2021-12-03,0,11099325
5BYhXq2Emic,2021-09-03,0,918574
X-qw40UVHs4,2021-09-03,0,803271
4f2l4jSt9u4,2021-09-03,0,5713699
PJzVxAsuJzM,2021-09-03,0,4627315
6UAVGTLNwZs,2021-09-03,0,288213
Gb-Pveb0mB8,2021-09-03,0,27426442
Ug2NNGY46f0,2021-09-03,0,4986580
qPCniNKVZ9c,2021-09-03,0,14861602
-rEyikLdQxE,2021-09-03,0,497805
m_2dtd838NM,2021-08-27,0,13937450
FxEorUpwkmg,2021-07-23,0,19370915
-YGH7pASoKY,2021-07-23,0,368167
bRUXDIALBKE,2021-07-23,0,5489396
LCpjdohpuEE,2021-07-09,0,165821729
8xqQ8LxtUhY,2021-07-09,0,932313
2qM3Aa9msr0,2021-07-09,0,2255216
NNCBq0JHXsU,2021-07-09,0,93305924
mYsxaHkYaCM,2021-06-15,0,953342
tT8Y-OLomyQ,2021-06-15,0,1460003
w3CO_p1omHc,2021-06-15,0,971628
JSkcuBmOWX0,2021-06-15,0,1625476
dKBYZjZADQg,2021-06-15,0,623113
0qzhjNW9Sas,2021-06-15,0,752435
vjoMXDJW5yA,2021-06-15,0,1494715
0FxLuDjwrdE,2021-06-15,0,1746183
WmyTWs8FeMs,2021-06-15,0,987423
pkzwVJlHiD4,2021-06-15,0,501218
jIza6edVPKo,2021-06-15,0,802815
Whnjg5RWn3A,2021-06-15,0,2419916
YP9k7NKDIEE,2021-06-15,0,520341
Sfd7X9enYVc,2021-06-15,0,514576
Oa511BEQPAU,2021-06-15,0,817766
p_KTS5sFOWA,2021-06-15,0,1137235
EuuOO20Bg7Q,2021-06-15,0,626188
Yeagt0QSNSU,2021-06-15,0,585137
kF2Ow2mWCZs,2021-06-15,0,501262
DmkNxHn7fj8,2021-06-15,0,572594
s4os5PVWB6Y,2021-06-15,0,1190964
E4hgPLcKahs,2021-06-15,0,695220
8SbBSJXydJU,2021-06-04,0,1794113
9N2QWUY0rBg,2021-06-04,0,1047569
MK5bbU7koqg,2021-06-04,0,2294355
zUV_oG1Q2k0,2021-06-04,0,2862717
ECm3ndmW9UE,2021-06-04,0,8912583
LVPnUc6ty2A,2021-05-28,0,340635
XRvghkaRF-Y,2021-05-28,0,6742054
aLC6PBFsSqA,2021-05-28,0,4212544
Wt2EKPIFPoQ,2021-05-21,0,106267708
kQd3acEp1HY,2021-05-21,0,3531545
bmefA0Q37WQ,2021-02-10,0,1868390
amnspvOH-EE,2020-11-20,0,73064748
