artist,song,duration_ms,year,popularity,danceability,tempo
K-Ci & JoJo,Crazy,262773,2019,30,0.68,116.097
Angie Martinez,If I Could Go! (feat. Lil' Mo & Sacario),244466,2019,40,0.583,195.685
Aaliyah,Rock The Boat,275026,2019,0,0.641,92.988
Liberty X,Just A Little,237359,2019,43,0.786,103.887
Lil' Kim,Magic Stick,359973,2019,47,0.849,92.98
Hinder,Lips Of An Angel,261053,2019,35,0.474,129.005
Hinder,Better Than Me,223533,2019,30,0.451,139.913
Chris Brown,Beautiful People,225881,2019,53,0.415,127.898
Hayden James,NUMB,217296,2019,47,0.617,147.932
Nicky Jam,X,172854,2019,74,0.594,179.968
Lil Nas X,Old Town Road - Remix,157066,2019,79,0.878,136.041
Billie Eilish,bad guy,194087,2019,83,0.701,135.128
Shawn Mendes,Señorita,190799,2019,78,0.759,116.967
Ariana Grande,7 rings,178626,2019,83,0.778,140.048
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,157560,2019,79,0.755,89.96
Gesaffelstein,Lost in the Fire (feat. The Weeknd),202093,2019,84,0.658,100.966
Regard,Ride It,157605,2019,81,0.88,117.948
Lewis Capaldi,Someone You Loved,182160,2019,84,0.501,109.891
Jax Jones,All Day And Night,169303,2019,60,0.585,121.908
Mustard,Pure Water (with Migos),192470,2019,75,0.682,202.015
NLE Choppa,Shotta Flow (feat. Blueface) [Remix],176631,2019,0,0.894,120.08
Daddy Yankee,Con Calma,193226,2019,79,0.737,93.989
BLACKPINK,Kill This Love,189052,2019,1,0.738,131.98
Offset,Clout (feat. Cardi B),205803,2019,68,0.919,140.022
MEDUZA,Piece Of Your Heart,152913,2019,75,0.677,124.08
Ed Sheeran,Antisocial (with Travis Scott),161746,2019,63,0.716,151.957
Mabel,Mad Love,169813,2019,0,0.631,198.065
Lana Del Rey,Doin' Time,202192,2019,80,0.641,144.982
DJ Snake,Taki Taki (feat. Selena Gomez Ozuna & Cardi B),212500,2019,70,0.842,95.881
Saweetie,My Type,126446,2019,71,0.899,105.038
Lil Tecca,Ransom,131240,2019,78,0.745,179.974
Russ Millions,Keisha & Becky - Remix,252906,2019,69,0.863,140.969
Mabel,Don't Call Me Up,178480,2019,77,0.674,98.994
Lil Nas X,Old Town Road,113000,2019,76,0.907,135.998
Post Malone,Wow.,149546,2019,79,0.829,99.96
Doja Cat,Juicy,202333,2019,57,0.786,170.037
iann dior,emotions,131213,2019,72,0.63,80.512
Paulo Londra,Adan y Eva,256971,2019,72,0.767,171.993
Drake,Money In The Grave (Drake ft. Rick Ross),205426,2019,76,0.831,100.541
Lil Nas X,Panini,114893,2019,71,0.703,153.848
Polo G,Pop Out (feat. Lil Tjay),166560,2019,78,0.772,168.112
Juice WRLD,Robbery,240050,2019,53,0.685,159.966
Young Thug,The London (feat. J. Cole & Travis Scott),200106,2019,69,0.796,97.981
Anuel AA,China,301714,2019,76,0.786,105.027
Camila Cabello,Liar,207038,2019,65,0.74,98.016
Flipp Dinero,Leave Me Alone,195637,2019,69,0.792,150.024
Ariana Grande,break up with your girlfriend i'm bored,190440,2019,76,0.726,169.999
Dave,Location (feat. Burna Boy),241293,2019,78,0.812,109.979
Dua Lipa,Don't Start Now,183290,2019,79,0.794,123.941
Young T & Bugsey,Strike a Pose (feat. Aitch),214203,2019,61,0.531,137.776
Calvin Harris,Giant (with Rag'n'Bone Man),229184,2019,73,0.807,122.015
Ed Sheeran,Take Me Back to London (feat. Stormzy),189733,2019,66,0.885,138.058
Cardi B,Please Me,200889,2019,73,0.747,133.992
Stormzy,Vossi Bop,196266,2019,64,0.682,188.115
Tones And I,Dance Monkey,209438,2019,78,0.824,98.027
Ariana Grande,boyfriend (with Social House),186106,2019,77,0.4,190.097
Bad Bunny,Callaita,250533,2019,81,0.61,176.169
Ava Max,So Am I,183026,2019,4,0.682,130.089
J. Cole,MIDDLE CHILD,213593,2019,80,0.837,123.984
Lunay,Soltera - Remix,266086,2019,70,0.795,92.01
DaBaby,Suge,163320,2019,72,0.876,75.445
AJ Tracey,Ladbroke Grove,190537,2019,69,0.903,133.986
Billie Eilish,bury a friend,193143,2019,75,0.905,120.046
BTS,Boy With Luv (feat. Halsey),229773,2019,35,0.645,119.991
Wiley,Boasty (feat. Idris Elba),177185,2019,64,0.887,102.958
Jonas Brothers,Only Human,183000,2019,71,0.795,94.01
5 Seconds of Summer,Easier,157492,2019,1,0.505,175.813
Avicii,SOS (feat. Aloe Blacc),157202,2019,71,0.802,100.001
Tyler The Creator,EARFQUAKE,190066,2019,80,0.554,79.635
Ashley O,On A Roll,154447,2019,57,0.736,125.011
Sigala,Wish You Well,205653,2019,64,0.669,124.975
Megan Thee Stallion,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),199427,2019,69,0.872,98.985
Anuel AA,Secreto,258800,2019,75,0.807,91.987
Sam Feldt,Post Malone (feat. RANI),174444,2019,69,0.59,107.356
Kehlani,Nights Like This (feat. Ty Dolla $ign),201787,2019,74,0.61,146.163
Sech,Otro Trago,225933,2019,71,0.746,176.044
Ed Sheeran,Cross Me (feat. Chance the Rapper & PnB Rock),206186,2019,64,0.746,95.005
Lauv,i'm so tired...,162582,2019,2,0.599,102.211
iann dior,gone girl,136568,2019,69,0.677,94.956
Marshmello,One Thing Right,181823,2019,73,0.659,88.042
Sam Smith,How Do You Sleep?,202204,2019,73,0.477,110.567
Normani,Motivation,193837,2019,71,0.599,170.918
Joel Corry,Sorry,188640,2019,63,0.744,125.002
Post Malone,Goodbyes (Feat. Young Thug),174960,2019,1,0.58,150.231
Jonas Brothers,Sucker,181026,2019,79,0.842,137.958
Taylor Swift,Cruel Summer,178426,2019,78,0.552,169.994
Blanco Brown,The Git Up,200593,2019,69,0.847,97.984
Sam Smith,Dancing With A Stranger (with Normani),171029,2019,75,0.741,102.998
Post Malone,Circles,215280,2019,85,0.695,120.042
