Track,Album Name,Artist,Release Date,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Popularity,YouTube Views,YouTube Likes
Birthday Sex,Jeremih (Edited Version),Jeremih,1/1/2009,4099,21,481414844,93752,65,324947792,2954295
Feel This Moment,Greatest Hits,Pitbull,1/1/2009,4243,20.5,687212492,158127,74,830074389,3735861
Day 'N' Nite (nightmare),Day 'N' Nite,Kid Cudi,1/1/2009,4277,20.4,836986096,185976,64,348950018,2261189
Alors on danse,Clubland Vol. 5,Stromae,1/1/2009,4315,20.2,676325288,186415,72,852637099,6839325
Pursuit Of Happiness (nightmare),Man On the Moon: The End of Day,Kid Cudi,1/1/2009,4330,20.2,789300127,189360,64,371080713,2632037
TiK ToK,TiK ToK,Kesha,8/7/2009,4226,20.5,1204914998,198352,80,206057670,1772119
Empire State Of Mind,The Blueprint 3,JAY-Z,9/8/2009,4231,20.5,1021647566,253182,77,608425147,4576133
Bohemian Rhapsody,Absolute Greatest,Queen,11/16/2009,4147,20.8,2486908570,264,,2036268766,14592615
Axel F,Best of Crazy Hits,Crazy Frog,12/11/2009,1134,44.7,178536020,870,30,5049428366,20305999
Love The Way You Lie,538 Hitzone 55,Eminem,1/1/2010,784,54.7,1532052160,236943,79,3009144927,15864764
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),So Fresh The Hits of Summer 2011 + The Best Of 2010,Shakira,1/1/2010,921,50.4,829352129,159324,61,4062829308,23606907
Pumped Up Kicks,Pumped up Kicks,Foster The People,1/1/2010,1113,45.1,1791778314,344490,81,599930123,5713061
Baby,R&B Collection 2011,Justin Bieber,1/1/2010,1337,40.7,952635214,136655,76,3312260344,26679549
Sail,Back From Earth,AWOLNATION,1/1/2010,1523,37.6,814264073,145349,68,878157246,6677962
Firework,Teenage Dream,Katy Perry,1/1/2010,1534,37.5,1065375074,164650,67,1634743568,9202767
Moves Like Jagger - Studio Recording From The Voice Performance,Hands All Over (Revised Asia Standard Version),Maroon 5,1/1/2010,1598,36.7,1461578587,216137,76,808548795,3748427
Danza Kuduro,Vem Dancar Kuduro,Don Omar,1/1/2010,1605,36.6,1656974409,266408,76,597309937,3662324
Last Friday Night (T.G.I.F.),Teenage Dream,Katy Perry,1/1/2010,2084,31.6,1144535829,170779,71,1604084148,8081370
Dynamite,Rokstarr (Special Edition),Taio Cruz,1/1/2010,2439,28.9,1070923216,204514,69,576914505,3412361
Grenade,Massive R&B Spring 2011,Bruno Mars,1/1/2010,3180,24.4,1313545266,193103,73,1310515665,6898904
DJ Got Us Fallin' In Love,Europa FM Presenta Europa Baila,USHER,1/1/2010,3402,23.5,841183589,178587,76,485860020,3227301
What's My Name?,Loud (Japan Version),Rihanna,1/1/2010,4011,21.3,520418822,88906,69,1049777851,3714062
Only Girl (In The World),Loud (Japan Version),Rihanna,1/1/2010,4090,21,1085436198,192284,78,162454294,1193141
The One That Got Away,Teenage Dream,Katy Perry,1/1/2010,4172,20.7,921351898,110426,67,1126799119,5603400
Taboo,Meet the Orphans (Deluxe Edition),Don Omar,1/1/2010,4451,19.8,210904340,32972,66,1096124254,3571813
Super Bass,Pink Friday,Nicki Minaj,1/1/2010,4469,19.7,855080751,112252,74,1308913092,7034253
Los Patitos,Grandes Clï¿½ï¿½sicos Infantiles (Vol,El Reino Infantil,4/20/2010,4086,21,3415634,316,34,2160514390,2891961
Not Afraid,Not Afraid,Eminem,5/3/2010,1612,36.5,1012914789,168108,74,2040135706,14876226
Sure Thing,All I Want Is You,Miguel,5/25/2010,2362,29.3,1335928309,190857,81,165856240,1428581
Sex Music,Sex Music,Tank,6/29/2010,2638,27.4,5283089,920,30,7187358,56665
Just the Way You Are,Just The Way You Are,Bruno Mars,7/20/2010,1477,38.1,2099862852,233719,79,2218318671,10649958
Jar of Hearts,jar of hearts,Christina Perri,7/27/2010,3945,21.5,534874667,65494,65,562197656,3376379
No Hands (feat. Roscoe Dash & Wale),No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,9/6/2010,2655,27.4,662257934,113043,71,464462597,3215886
Black And Yellow,Black And Yellow,Wiz Khalifa,9/14/2010,1960,32.6,636986949,141343,69,1110450147,6467597
Whistle,Pioneer The Album (Vol.13),Flo Rida,9/27/2010,2784,26.6,814272136,180832,72,731556941,4447478
The Lazy Song,Doo-Wops & Hooligans,Bruno Mars,10/5/2010,1496,37.9,950810060,151801,72,2903165526,16099406
Somebody That I Used To Know,Making Mirrors (Deluxe),Gotye,1/1/2011,471,71,1752826514,352833,74,2729174469,22532779
Sexy And I Know It,Sorry For Party Rocking (Japan Version),LMFAO,1/1/2011,853,52.6,436722440,107912,62,1193724016,7130332
Titanium (feat. Sia),Nothing But The Beat,Sia,1/1/2011,1031,47.4,1634403761,244291,74,1855838617,9070363
What Makes You Beautiful,Up All Night,One Direction,1/1/2011,1494,37.9,1265397717,175809,80,1864674236,16322948
Set Fire to the Rain,More Music 2011,Adele,1/1/2011,1518,37.7,1595514674,186319,77,959699985,5310150
Party Rock Anthem,Sorry For Party Rocking (Japan Version),LMFAO,1/1/2011,1609,36.6,717233625,190770,68,2681563789,13879113
We Found Love,Talk That Talk (Explicit),Rihanna,1/1/2011,1965,32.5,1655539775,219739,79,1438850843,6775048
Summertime Sadness,Born To Die (Deluxe Version),Lana Del Rey,1/1/2011,2606,27.7,1442872605,204954,79,572303765,6181000
On The Floor,VTM Kzoom Hits Best Of 2011,Jennifer Lopez,1/1/2011,2768,26.7,456241170,89265,69,2333347395,9971513
Ni**as In Paris,Watch the Throne (Deluxe),JAY-Z,1/1/2011,2899,25.9,1436087930,296520,76,444307904,3150622
Stereo Hearts (feat. Adam Levine),Megahits 2012 - Die Erste,Gym Class Heroes,1/1/2011,2916,25.8,1318596835,240081,74,1141964928,11343690
Midnight City,Hurry Up We're Dreaming,M83,1/1/2011,2954,25.6,1081517243,260318,72,82397805,1125466
Wild Ones (feat. Sia),Good Feeling EP,Flo Rida,1/1/2011,2983,25.5,886640358,144242,76,692934603,2793210
Good Feeling,Good Feeling EP,Flo Rida,1/1/2011,3031,25.2,662305046,156823,72,722325299,3784855
Little Talks,Little Talks,Of Monsters and Men,1/1/2011,3217,24.3,1050676021,222725,75,95461283,924094
Where Have You Been,Talk That Talk (Explicit),Rihanna,1/1/2011,4028,21.2,699439249,120535,69,821028883,4207574
How To Love,Tha Carter IV (Deluxe),Lil Wayne,1/1/2011,4130,20.9,302419750,54906,61,369321004,2498223
Feel So Close - Radio Edit,Dance Hitlist 2012.1,Calvin Harris,1/1/2011,4411,19.9,991382346,187432,79,7412771,63854
Mirror,Tha Carter IV (Japan Version),Lil Wayne,1/1/2011,4433,19.8,531877344,113502,69,887185779,5742922
Country Girl (Shake It For Me),Tailgates & Tanlines,Luke Bryan,1/1/2011,4530,19.6,464203349,69767,70,192327944,1072108
Rolling in the Deep - Acapella,Rolling In The Deep,Adele,1/16/2011,2800,26.5,11170019,1580,36,2522903197,13159087
Someone Like You,21' Sampler,Adele,1/18/2011,1345,40.5,1925879064,211527,75,759564393,4034527
Look At Me Now (feat. Lil' Wayne & Busta Rhymes),Look At Me Now,Lil Wayne,2/1/2011,3188,24.4,420074095,84668,65,571911363,3726047
