artist,song,duration_ms,year,popularity,danceability,tempo
Creed,My Sacrifice,294600,2001,69,0.32,146.349
Ja Rule,Always On Time,245133,2001,73,0.839,96.673
Ashanti,Foolish,227386,2002,70,0.665,90.119
Avril Lavigne,Sk8er Boi,204000,2002,75,0.487,149.937
DJ Sammy,Heaven,233600,2002,63,0.571,137.965
Britney Spears,I'm Not a Girl Not Yet a Woman,231066,2001,58,0.534,78.996
Cam’ron,Oh Boy,204706,2002,67,0.754,83.014
Red Hot Chili Peppers,By the Way,216933,2002,73,0.451,122.444
Elvis Presley,A Little Less Conversation - JXL Radio Edit Remix,211506,2002,60,0.597,114.999
Atomic Kitten,The Tide Is High - Radio Mix,206093,2002,65,0.783,103.997
*NSYNC,Girlfriend,253600,2001,50,0.745,93.967
Robbie Williams,Somethin' Stupid,170493,2001,64,0.654,106.191
Alanis Morissette,Hands Clean,269400,2002,57,0.513,99.952
Usher,U Don't Have to Call,269400,2001,59,0.793,100.005
Creed,One Last Breath - Radio Version,242000,2015,47,0.38,130.581
The Goo Goo Dolls,Here Is Gone,238173,2002,56,0.338,102.192
Puddle Of Mudd,She Hates Me,216760,2001,70,0.58,109.781
Ludacris,Rollout (My Business),296586,2001,60,0.921,131.059
Blazin' Squad,Crossroads - Radio Edit,188693,2012,40,0.661,144.188
Default,Wasting My Time,268693,2001,40,0.443,147.973
Michelle Branch,All You Wanted,217680,2001,60,0.499,96.103
Daniel Bedingfield,If You're Not The One,257026,2002,58,0.688,119.998
Enrique Iglesias,Escape,208626,2001,56,0.776,125.972
Puddle Of Mudd,Blurry,303920,2001,64,0.432,157.469
Coldplay,In My Place,226680,2002,72,0.424,144.636
Outkast,The Whole World (feat. Killer Mike),295346,2001,51,0.814,184.682
P!nk,Don't Let Me Get Me - Radio Edit,210693,2001,60,0.624,98.525
50 Cent,In Da Club,193466,2003,81,0.899,90.051
Sean Paul,Get Busy,211666,2002,74,0.735,100.202
Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",322226,2004,77,0.686,171.355
Beyoncé,Crazy In Love (feat. Jay-Z),236133,2003,76,0.646,99.165
Counting Crows,Big Yellow Taxi,225426,2003,50,0.669,88.029
Black Eyed Peas,Where Is The Love?,272533,2003,68,0.835,94.059
Jennifer Lopez,Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,187840,2002,70,0.845,100
Black Eyed Peas,Shut Up,296186,2003,56,0.81,112.968
t.A.T.u.,All The Things She Said,214440,2020,39,0.527,179.92
Benny Benassi,Satisfaction (Isak Original Extended) - Benny Benassi Presents The Biz,285570,2003,66,0.793,130.017
Busta Rhymes,I Know What You Want (feat. Flipmode Squad),324306,2002,68,0.648,85.996
Panjabi MC,Mundian to Bach Ke,244666,2003,61,0.778,98.077
Mis-Teeq,Scandalous - U.S. Radio Edit,238840,2004,59,0.734,99.971
JAY-Z,03' Bonnie & Clyde,205560,2002,71,0.759,89.64
50 Cent,P.I.M.P.,249480,2003,76,0.712,84.722
Jamelia,Superstar,215480,2003,69,0.801,110.01
Linkin Park,Faint,162600,2003,72,0.554,135.095
DMX,X Gon' Give It To Ya,217586,2007,70,0.761,95.027
Evanescence,Bring Me To Life,235893,2003,79,0.331,94.612
Sugababes,Hole In The Head,218173,2003,57,0.785,125.011
Craig David,Rise & Fall (feat. Sting),287226,2002,59,0.405,83.373
Three Days Grace,I Hate Everything About You,231480,2003,72,0.498,89.342
Lil Jon & The East Side Boyz,Get Low,324600,2002,47,0.78,101.043
B2K,Bump Bump Bump (feat. P. Diddy),282773,2003,62,0.835,95.508
Baby Bash,Suga Suga,239026,2003,73,0.662,82.331
Aaliyah,Miss You - Main,245240,2002,36,0.602,109.598
Britney Spears,Me Against the Music (feat. Madonna) - LP Version / Video Mix,223773,2003,59,0.804,120.046
Blue,Sorry Seems To Be The Hardest Word,210066,2004,57,0.564,78.955
Delta Goodrem,Lost Without You,248546,2003,54,0.581,146.301
Justin Timberlake,Rock Your Body,267266,2002,76,0.892,100.972
The White Stripes,Seven Nation Army,231920,2003,3,0.741,123.904
Youngbloodz,Damn! (feat. Lil' Jon) - Club Mix,298600,2003,54,0.772,84.038
Beyoncé,Baby Boy (feat. Sean Paul),244826,2003,63,0.655,91.025
Lil' Kim,Magic Stick,359973,2019,47,0.849,92.98
Christina Aguilera,Can't Hold Us Down (feat. Lil' Kim),255266,2002,61,0.859,98.989
Nickelback,Someday,207466,2003,68,0.455,163.118
Blue,U Make Me Wanna - Radio Edit,222400,2003,48,0.6,158.108
Ashanti,Rain On Me,297960,2003,50,0.606,83.701
Trapt,Headstrong,285569,2002,72,0.492,184.981
Simply Red,Sunrise,199040,2008,58,0.791,105.987
Lumidee,Never Leave You (Uh Oooh Uh Oooh),184906,2003,61,0.811,199.958
Girls Aloud,Sound Of The Underground,221426,2003,58,0.568,163.944
Nelly,Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster,293666,2016,52,0.527,87.025
Room 5,Make Luv,212413,2003,57,0.883,124.814
Fatman Scoop,Be Faithful,164506,2009,49,0.649,101.129
Limp Bizkit,Behind Blue Eyes,269973,2003,70,0.595,120.315
Sugababes,Too Lost In You,237693,2003,58,0.586,98.014
50 Cent,"Wanksta - From ""8 Mile"" Soundtrack",219400,2003,57,0.802,81.008
Pharrell Williams,Frontin' (feat. Jay-Z) - Club Mix,236506,2003,67,0.894,102.009
Chingy,Right Thurr,250746,2003,69,0.866,92.074
Eminem,Sing For The Moment,339546,2002,71,0.668,163.961
Lil' Kim,The Jump Off (feat. Mr. Cheeks) - Remix,234800,2003,48,0.853,104.946
Mýa,My Love Is Like...Wo - Main Mix,209533,2003,48,0.831,132.817
50 Cent,21 Questions,224440,2003,72,0.646,92.729
Nelly,Air Force Ones,304000,2002,61,0.784,164.062
Missy Elliott,Gossip Folks (feat. Ludacris),234893,2002,57,0.707,121.732
Girls Aloud,Jump,220360,2003,60,0.658,134.465
Ultrabeat,Pretty Green Eyes - Radio Edit,201920,2003,59,0.553,139.993
Christina Aguilera,Fighter,245960,2002,67,0.435,188.899
Frankie J,Don't Wanna Try,245293,2003,49,0.655,130.127
Snoop Dogg,Beautiful,299146,2005,67,0.893,101.025
Floetry,Say Yes,268373,2002,57,0.747,117.901
Ginuwine,In Those Jeans,243306,2003,59,0.691,127.683
Electric Six,Danger! High Voltage - Soulchild Radio Mix,214600,2003,0,0.66,123.005
Rachel Stevens,Sweet Dreams My LA Ex - Radio Edit,208386,2003,38,0.85,130.036
Ludacris,Stand Up,213760,2003,57,0.751,99.057
Nas,I Can,253720,2002,58,0.837,95.313
3 Doors Down,When I'm Gone,260333,2002,67,0.53,148.095
Tyrese,How You Gonna Act Like That,294693,2002,60,0.733,112.913
Justin Timberlake,Cry Me a River,288333,2002,73,0.624,73.898
Westlife,Mandy,199320,2003,57,0.447,105.678
No Doubt,It's My Life,226053,2003,60,0.612,126.326
Amanda Perez,Angel,218760,2003,48,0.638,143.772
JAY-Z,Excuse Me Miss,281240,2002,56,0.714,92.849
Coldplay,Clocks,307879,2002,79,0.577,130.97
Kelly Rowland,Stole,249293,2002,54,0.649,79.993
Missy Elliott,Work It,263226,2002,70,0.884,101.868
Ashanti,Rock Wit U (Awww Baby),209120,2003,65,0.71,94.998
Junior Senior,Move Your Feet,181826,2002,67,0.747,118.877
Audioslave,Like a Stone,293960,2002,75,0.614,107.849
Sean Paul,Like Glue,232506,2002,61,0.757,97.917
Jaheim,Put That Woman First,245773,2002,55,0.649,78.935
Jennifer Lopez,All I Have (feat. LL Cool J),254466,2002,60,0.701,83.066
Monica,So Gone,242773,2003,64,0.618,81.975
Dido,White Flag,240040,2003,44,0.512,169.951
The Roots,The Seed (2.0),267933,2002,63,0.758,111.121
Chingy,Holidae In,314400,2003,61,0.81,153.067
Fabolous,Can't Let You Go (feat. Mike Shorey & Lil' Mo),223973,2003,61,0.646,192.082
Kelly Clarkson,Miss Independent,214773,2003,47,0.656,175.943
Ja Rule,Mesmerize,278693,2002,61,0.769,90.079
Matchbox Twenty,Unwell,228706,2002,63,0.256,80.718
Outkast,The Way You Move (feat. Sleepy Brown),234000,2003,66,0.871,125.999
Fabolous,Into You (feat. Tamia),295773,2003,67,0.546,182.12
Switchfoot,Meant to Live,201373,2003,61,0.397,151.551
Daniel Bedingfield,If You're Not The One,257026,2002,58,0.688,119.998
Good Charlotte,Lifestyles of the Rich & Famous,190173,2002,68,0.62,106.22
Wayne Wonder,No Letting Go,202013,2003,63,0.496,100.215
The Strokes,Reptilia,219826,2003,74,0.489,158.009
Avril Lavigne,I'm with You,223066,2002,70,0.457,151.95
Will Young,Leave Right Now,214733,2003,55,0.641,81.931
Usher,Yeah! (feat. Lil Jon & Ludacris),250373,2004,81,0.894,105.018
Maroon 5,This Love,206200,2002,77,0.712,95.051
Britney Spears,Toxic,198800,2003,81,0.774,143.04
Outkast,Hey Ya!,235213,2003,80,0.727,79.526
Hoobastank,The Reason,232800,2003,79,0.472,82.952
Anastacia,Left Outside Alone,257426,2004,65,0.663,102.847
Daddy Yankee,Gasolina,192600,2004,11,0.857,96.009
Black Eyed Peas,Let's Get It Started - Spike Mix,217733,2004,53,0.785,104.923
O-Zone,Dragostea Din Tei,215431,2004,56,0.809,130.103
Terror Squad,Lean Back,247426,2004,67,0.783,95.321
Anastacia,Sick and Tired,212266,1999,56,0.598,99.848
Gwen Stefani,What You Waiting For?,221226,2004,60,0.676,136.027
Ashanti,Only U - No Intro,186306,2004,56,0.601,94.547
The Rasmus,In the Shadows,257920,2003,68,0.6,105.991
Houston,I Like That,236520,2004,59,0.797,106.997
Beyoncé,Naughty Girl,208600,2003,63,0.735,99.973
Linkin Park,Numb,185586,2003,81,0.496,110.018
Lloyd Banks,On Fire,187280,2004,61,0.759,94.857
Akon,Locked Up,235066,2004,16,0.818,89.987
