artist,song,duration_ms,year,popularity,danceability,tempo
Britney Spears,Oops!...I Did It Again,211160,2000,77,0.751,95.053
blink-182,All The Small Things,167066,1999,79,0.434,148.726
Faith Hill,Breathe,250546,1999,66,0.529,136.859
Bon Jovi,It's My Life,224493,2000,78,0.551,119.992
*NSYNC,Bye Bye Bye,200560,2000,65,0.614,172.656
Sisqo,Thong Song,253733,1999,69,0.706,121.549
Eminem,The Real Slim Shady,284200,2000,86,0.949,104.504
Robbie Williams,Rock DJ,258560,2000,68,0.708,103.035
Destiny's Child,Say My Name,271333,1999,75,0.713,138.009
Modjo,Lady - Hear Me Tonight,307153,2001,77,0.72,126.041
Gigi D'Agostino,L'Amour Toujours,238759,2011,1,0.617,139.066
Eiffel 65,Move Your Body - Gabry Ponte Original Radio Edit,268863,1999,56,0.745,129.962
Bomfunk MC's,Freestyler,306333,2000,55,0.822,163.826
Sting,Desert Rose,285960,1999,62,0.586,111.989
Melanie C,Never Be The Same Again,294200,1999,61,0.689,160.067
Aaliyah,Try Again,284000,2002,53,0.797,93.02
Anastacia,I'm Outta Love - Radio Edit,245400,1999,64,0.761,119.41
Alice Deejay,Better Off Alone,214883,2000,73,0.671,136.953
Gigi D'Agostino,The Riddle,285426,1999,64,0.74,127.002
Dr. Dre,The Next Episode,161506,1999,82,0.922,95.295
Linkin Park,In the End,216880,2000,83,0.556,105.143
Tom Jones,Sexbomb,211893,1999,65,0.801,122.979
Sonique,It Feels So Good,240866,2000,62,0.634,135.012
M.O.P.,Cold as Ice,244466,2000,54,0.656,85.565
Melanie C,I Turn To You,352173,1999,54,0.522,135.205
Limp Bizkit,Take A Look Around,321040,2000,72,0.425,101.968
Darude,Sandstorm,225493,2001,69,0.528,136.065
Da Brat,What'chu Like (feat. Tyrese),221160,2000,53,0.879,99.974
Moloko,The Time Is Now,318280,2000,54,0.682,127.962
Chicane,Don't Give Up,210786,2016,47,0.644,132.017
DMX,Party Up,268866,1999,71,0.51,201.936
Debelah Morgan,Dance with Me,220106,2000,49,0.85,115.005
Madonna,Music,225973,2000,58,0.736,119.854
Ruff Endz,No More,242560,2000,52,0.839,97.004
Britney Spears,Born to Make You Happy,243533,1999,58,0.633,84.11
Montell Jordan,Get It On Tonite,276266,1999,59,0.813,99.008
Kylie Minogue,Spinning Around,207866,2000,55,0.761,120.043
JAY-Z,Big Pimpin',283066,1999,69,0.88,138.083
LeAnn Rimes,I Need You,229826,2001,61,0.478,144.705
Avant,Separated,255600,2000,55,0.798,108.241
Enrique Iglesias,Be With You,219360,1999,54,0.683,121.996
Toni Braxton,He Wasn't Man Enough,261933,2000,66,0.739,88.009
Bow Wow,Bounce With Me (feat. Xscape) - Edited Album Version,175893,2000,36,0.852,72.016
Dr. Dre,Forgot About Dre,222293,1999,79,0.924,133.974
Missy Elliott,Hot Boyz,215466,1998,49,0.727,81.125
Backstreet Boys,Show Me the Meaning of Being Lonely,234960,1999,68,0.63,167.998
Samantha Mumba,Gotta Tell You,201946,2018,43,0.729,109.981
Mýa,Case Of The Ex (Whatcha Gonna Do),236906,2000,59,0.772,98
Mary Mary,Shackles (Praise You),198346,2000,64,0.779,100.46
Next,Wifey,243666,2004,52,0.829,99.581
Janet Jackson,Doesn't Really Matter,265026,2001,47,0.771,99.316
Ricky Martin,She Bangs - English Version,280626,2000,60,0.63,143.866
Jagged Edge,He Can't Love U,244053,2000,55,0.721,126.279
Sisqo,Incomplete,274226,1999,60,0.746,119.311
JAY-Z,I Just Wanna Love U (Give It 2 Me),227866,2000,59,0.8,98.631
Mariah Carey,Thank God I Found You (feat. Joe & 98°),257360,1999,59,0.348,129.297
Baha Men,Who Let The Dogs Out,198400,2000,65,0.869,129.221
Donell Jones,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",243733,1999,63,0.854,103.032
LeAnn Rimes,Can't Fight The Moonlight,215506,2001,65,0.628,97.865
Oasis,Go Let It Out,278666,2000,0,0.408,84.192
DJ Ötzi,Hey Baby (Radio Mix),219240,2010,58,0.666,135.099
P!nk,Most Girls,298960,2000,52,0.742,97.922
Mariah Carey,Against All Odds (Take A Look at Me Now) (feat. Westlife),199480,2011,0,0.471,117.338
Craig David,Fill Me In,257200,2000,60,0.682,132.493
Christina Aguilera,I Turn to You,273706,1999,61,0.599,127.177
Madonna,American Pie,273533,2000,58,0.631,124.036
Red Hot Chili Peppers,Otherside,255373,1999,78,0.458,123.229
Sammie,I Like It,251040,2000,55,0.826,129.963
Craig David,7 Days,235133,2000,70,0.659,83.014
Santana,Maria Maria (feat. The Product G&B),261973,1999,66,0.777,97.911
Kandi,Don't Think I'm Not,243533,2000,55,0.859,134.007
P!nk,There You Go,202800,2000,55,0.822,107.908
Vengaboys,Shalala Lala,214819,2000,58,0.751,124.017
Ronan Keating,Life Is A Rollercoaster,234826,2000,59,0.655,118.981
Madison Avenue,Don't Call Me Baby,228140,1999,56,0.808,124.999
Destiny's Child,Jumpin' Jumpin',230200,1999,70,0.771,88.997
Céline Dion,That's the Way It Is,241373,1999,64,0.634,93.04
3 Doors Down,Kryptonite,233933,2000,78,0.545,99.009
Carl Thomas,I Wish,226760,2000,52,0.736,89.824
Mystikal,Shake Ya Ass,256973,2000,57,0.914,98.054
Fuel,Hemorrhage (In My Hands),236866,2000,49,0.313,152.034
Donell Jones,Where I Wanna Be,253626,1999,57,0.664,102.053
Savage Garden,Crash and Burn,281466,1999,54,0.581,102.03
Westlife,My Love,231760,2000,68,0.491,144.142
All Saints,Pure Shores,268746,2000,62,0.631,100.618
Destiny's Child,Independent Women Pt. 1,221133,2001,65,0.73,97.954
*NSYNC,It's Gonna Be Me,191040,2000,60,0.644,165.09
Erykah Badu,Bag Lady,348893,2000,54,0.724,151.181
Marc Anthony,You Sang To Me,347106,1999,56,0.578,165.98
Matchbox Twenty,Bent,256133,2000,54,0.518,95.468
Gabrielle,Rise,219093,2001,60,0.558,144.673
Backstreet Boys,Shape of My Heart,230093,2000,70,0.575,96.102
Creed,With Arms Wide Open,274800,1999,64,0.41,138.852
The Corrs,Breathless,207506,2000,68,0.607,126.988
Joe,I Wanna Know,296693,2000,65,0.725,136.086
Wheatus,Teenage Dirtbag,241666,1999,71,0.625,94.661
Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version,203333,1999,64,0.829,118.903
Creed,Higher,316733,1999,69,0.459,155.827
Britney Spears,Lucky,206226,2000,65,0.765,95.026
Nelly,Country Grammar (Hot Shit),287000,2000,68,0.865,162.831
Shaggy,It Wasn't Me,227600,2000,76,0.853,94.759
Destiny's Child,Survivor,254026,2001,70,0.514,161.109
Eminem,Stan,404106,2000,83,0.78,80.063
Kylie Minogue,Can't Get You out of My Head,230640,2001,73,0.766,126.007
Christina Aguilera,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",264893,2001,68,0.76,109.919
Nelly Furtado,I'm Like A Bird,243160,2000,1,0.622,89.661
Shakira,Whenever Wherever,196160,2001,74,0.794,107.657
Jimmy Eat World,The Middle,165853,2001,78,0.643,162.152
Train,Drops of Jupiter (Tell Me),259933,2001,77,0.481,79.064
Geri Halliwell,It's Raining Men,254640,2001,62,0.637,136.482
Blu Cantrell,Hit 'Em Up Style (Oops!),250706,2001,71,0.667,89.976
Britney Spears,I'm a Slave 4 U,203600,2001,69,0.847,110.027
Kylie Minogue,In Your Eyes,197826,2001,62,0.689,123.971
Missy Elliott,One Minute Man (feat. Ludacris),252986,2001,57,0.622,93.839
Mary J. Blige,Family Affair,265866,2001,76,0.911,92.887
Faithless,We Come 1 - Radio Edit,222435,2015,53,0.645,135.977
Limp Bizkit,Rollin' (Air Raid Vehicle),213760,2000,73,0.603,96.306
Lasgo,Something,220973,2001,65,0.643,140.01
iio,Rapture (feat.Nadia Ali),253586,2006,54,0.661,123.943
Emma Bunton,What Took You So Long?,241000,2001,54,0.668,118.011
112,It's Over Now,264933,2001,57,0.66,97.988
Blue,All Rise,223546,2001,63,0.721,97.996
Jessica Simpson,Irresistible,194026,2001,43,0.657,93.013
Crazy Town,Butterfly,216733,1999,71,0.736,103.502
Michael Jackson,You Rock My World,337733,2001,64,0.854,95
Eve,Let Me Blow Ya Mind,230133,2001,73,0.908,90.032
Jennifer Lopez,Ain't It Funny,246160,2001,0,0.707,99.825
Brandy,Another Day in Paradise - R&B-Version,271626,2002,50,0.7,102.043
Nickelback,How You Remind Me,223840,2001,78,0.446,172.094
Daft Punk,One More Time,320357,2001,76,0.613,122.746
Outkast,Ms. Jackson,270506,2000,82,0.843,94.948
Fragma,Everytime You Need Me - Radio Version,213346,2001,50,0.682,137.029
Mariah Carey,Loverboy,229173,2001,42,0.721,103.141
Dido,Thank You,218360,1999,73,0.725,79.984
Joe,Stutter (feat. Mystikal) - Double Take Remix,213026,2000,57,0.767,89.989
P.O.D.,Youth of the Nation,256240,2001,69,0.563,97.867
Jennifer Lopez,Play,211493,2001,57,0.775,104.719
Missy Elliott,Get Ur Freak On,211120,2001,68,0.797,177.87
Ricky Martin,Nobody Wants to Be Lonely (with Christina Aguilera),252706,2008,52,0.635,100.851
Christina Milian,AM To PM,231213,2001,60,0.872,105.005
Roger Sanchez,Another Chance,452906,2000,50,0.61,127.993
Gorillaz,Clint Eastwood,340920,2001,74,0.663,167.953
2Pac,Until The End Of Time,266506,2001,57,0.757,96.976
Tamia,Stranger in My House,285386,2000,48,0.676,119.94
Mary J. Blige,No More Drama,326240,2001,61,0.653,97.914
Jennifer Lopez,Love Don't Cost a Thing,221226,2001,67,0.786,97.577
Jamiroquai,Little L,295400,2001,65,0.878,121.906
Case,Missing You,284666,2001,55,0.612,86.31
112,Peaches & Cream,193093,2001,63,0.677,203.862
Five,Let's Dance - Radio Edit,218626,2001,47,0.631,118.007
Rui Da Silva,Touch Me (Radio Edit) [feat. Cassandra],213133,2001,54,0.464,129.078
Alien Ant Farm,Smooth Criminal,209266,2001,75,0.653,126.928
Erick Sermon,Music (feat. Marvin Gaye),223133,2001,57,0.897,100.01
D12,Purple Pills,304506,2001,68,0.78,125.25
Usher,Pop Ya Collar - Radio Edit,210813,2016,26,0.888,106.957
Madonna,Don't Tell Me,280973,2000,53,0.699,99.965
Blue,If You Come Back,207560,2001,58,0.582,78.375
Atomic Kitten,Eternal Flame - Single Version,195506,2001,58,0.578,83.293
Jagged Edge,Where the Party At (feat. Nelly),232573,2001,67,0.596,129.491
Afroman,Because I Got High,197760,2001,68,0.802,166.01
S Club 7,Don't Stop Movin',233626,2001,63,0.822,117.033
Craig David,Fill Me In,257200,2000,60,0.682,132.493
Nelly Furtado,Turn Off The Light,276106,2000,1,0.587,180.184
The Supermen Lovers,Starlight - Radio Edit,234400,2001,61,0.739,127.487
Mis-Teeq,All I Want - Sunship Radio Edit,207400,2004,46,0.795,134.079
Jagged Edge,Promise,246720,2000,56,0.751,128.002
S Club 7,Have You Ever,201533,2001,60,0.585,139.909
Enya,Only Time,218546,2000,69,0.418,82.803
Faith Hill,There You'll Be,222120,2001,60,0.321,128.98
Ronan Keating,Lovin' Each Day,212973,2000,58,0.541,106.676
Destiny's Child,Bootylicious,207906,2001,64,0.84,103.376
Steps,It's the Way You Make Me Feel,197360,2000,53,0.573,105.006
Sunshine Anderson,Heard It All Before,295826,2001,56,0.697,96.951
Lenny Kravitz,Again,231666,2000,68,0.55,79.166
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,162333,2002,46,0.836,133.592
DB Boulevard,Point Of View - Radio Edit,231166,2018,0,0.676,129.006
Janet Jackson,All For You,329933,2001,65,0.753,113.525
Atomic Kitten,Whole Again,185013,2001,66,0.747,94.019
Ja Rule,Livin' It Up,257066,2001,64,0.874,106.095
Destiny's Child,Independent Women Pt. 1,221133,2001,65,0.73,97.954
DJ Pied Piper & The Masters Of Ceremonies,Do You Really Like It? - Radio Edit,217120,2001,54,0.847,131.044
Jennifer Lopez,I'm Real (feat. Ja Rule) - Murder Remix,262133,2001,66,0.708,83.46
Musiq Soulchild,Love,304666,2000,0,0.569,99.738
So Solid Crew,21 Seconds,302826,2001,51,0.607,137.03
Robbie Williams,Eternity,302760,2001,48,0.469,77.967
Basement Jaxx,Romeo,217493,2001,0,0.713,126.853
Ludacris,Southern Hospitality (Featuring Pharrell),300933,2000,54,0.623,95.158
Gabrielle,Rise,219093,2001,60,0.558,144.673
Nelly,Ride Wit Me,291781,2000,75,0.85,101.875
Trick Daddy,I'm a Thug,254400,2001,59,0.933,139.976
Travis,Sing,228800,2001,68,0.33,163.142
JAY-Z,Izzo (H.O.V.A.),240626,2001,63,0.618,84.411
Gabrielle,Out Of Reach,196986,2001,69,0.51,182.862
OPM,Heaven Is a Halfpipe (If I Die),257426,2000,56,0.743,95.9
K-Ci & JoJo,Crazy,262773,2019,30,0.68,116.097
Staind,It's Been Awhile,264706,2001,64,0.509,116.529
3LW,No More (Baby I'ma Do Right),263440,2000,56,0.721,88.933
Ginuwine,Differences,265533,2001,65,0.562,62.876
*NSYNC,Gone,292000,2001,45,0.699,113.922
Lifehouse,Hanging By A Moment,216360,2000,61,0.537,124.599
Nelly,Dilemma,289160,2002,77,0.727,168.189
Eminem,Without Me,290320,2002,87,0.908,112.238
Avril Lavigne,Complicated,244506,2002,78,0.585,77.987
Vanessa Carlton,A Thousand Miles,237493,2002,75,0.56,94.931
The Calling,Wherever You Will Go,208600,2001,72,0.558,112.027
Shakira,Underneath Your Clothes,224066,2001,64,0.616,165.508
No Doubt,Underneath It All,302720,2001,27,0.729,138.202
Truth Hurts,Addictive,226440,2002,58,0.701,99.271
Busta Rhymes,I Know What You Want (feat. Flipmode Squad),324306,2002,68,0.648,85.996
Eminem,Till I Collapse,297786,2002,85,0.548,171.447
Diddy,I Need a Girl (Pt. 2) [feat. Loon Ginuwine & Mario Winans],285586,2004,69,0.713,199.764
Christina Milian,When You Look At Me - Radio Edit,222546,2001,60,0.955,108.955
Madonna,Die Another Day,276360,2003,53,0.792,123.993
Jennifer Lopez,I'm Gonna Be Alright (feat. Nas),172240,2002,53,0.718,93.401
Angie Martinez,If I Could Go! (feat. Lil' Mo & Sacario),244466,2019,40,0.583,195.685
Linkin Park,In the End,216880,2000,83,0.556,105.143
Las Ketchup,The Ketchup Song (Aserejé) - Spanglish Version,213973,2002,66,0.607,184.819
Aaliyah,Rock The Boat,275026,2019,0,0.641,92.988
Holly Valance,Kiss Kiss,204400,2002,54,0.705,97.036
Sugababes,Round Round,236426,2002,59,0.74,126.607
Marilyn Manson,Tainted Love,200426,2003,60,0.622,142.017
Brandy,What About Us?,253200,2002,43,0.686,93.118
Chad Kroeger,Hero (feat. Josey Scott),200480,2003,66,0.427,147.387
Britney Spears,Overprotected - Radio Edit,198600,2001,61,0.682,95.992
Scooter,The Logical Song,234116,2013,46,0.527,144.043
Missy Elliott,4 My People (feat. Eve),289373,2001,49,0.969,121.392
Aaliyah,More Than A Woman,230346,2002,42,0.646,86.994
Brandy,Full Moon,248933,2002,52,0.611,105.922
Blue,One Love,207186,2002,60,0.683,95.012
Busta Rhymes,Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix,238600,2001,55,0.697,89.767
Céline Dion,A New Day Has Come - Radio Remix,259773,2001,59,0.574,91.969
Scooter,Nessaja,208449,2013,47,0.486,143.048
Eve,Gangsta Lovin',239266,2002,58,0.723,94.332
Disturbing Tha Peace,Move Bitch,272293,2002,59,0.777,177.894
Khia,My Neck My Back (Lick It),222560,2015,59,0.859,102.072
Tweet,Oops (Oh My) [feat. Missy Elliott],237800,2002,64,0.66,159.963
Kylie Minogue,Spinning Around,207866,2000,55,0.761,120.043
Nelly,Hot In Herre,228240,2002,75,0.956,107.075
Gareth Gates,Anyone of Us (Stupid Mistake),227866,2003,53,0.7,106.986
Christina Aguilera,Dirrty (feat. Redman),298853,2002,68,0.64,99.931
B2K,Uh Huh,223293,2002,49,0.855,99.699
Sugababes,Freak Like Me,195866,2002,45,0.517,91.868
Dirty Vegas,Days Go By,432146,2002,48,0.786,126.99
Fat Joe,What's Luv? (feat. Ja-Rule & Ashanti),267093,2001,73,0.835,93.955
Liberty X,Just A Little,237359,2019,43,0.786,103.887
No Doubt,Hella Good,242586,2001,26,0.771,115.142
LL Cool J,Luv U Better,287000,2002,2,0.668,95.022
Red Hot Chili Peppers,Can't Stop,269000,2002,80,0.618,91.455
Musiq Soulchild,Halfcrazy,254493,2002,58,0.412,101.955
Sean Paul,Gimme the Light,228000,2002,59,0.778,107.288
Faith Evans,I Love You,267160,2001,53,0.489,168.004
Charli Baltimore,Down 4 U,318213,2002,47,0.64,83.133
Kylie Minogue,Love at First Sight,238266,2001,55,0.603,124.994
N.O.R.E.,Nothin',264653,2002,58,0.791,97.035
Gareth Gates,Unchained Melody,233666,2003,35,0.368,106.52
Diddy,I Need a Girl (Pt. 1) [feat. Usher & Loon],268800,2005,63,0.66,89.279
Big Brovaz,Nu Flow,201480,2001,45,0.783,148.062
No Doubt,Hey Baby,207040,2001,24,0.705,93.63
Ashanti,Baby,265706,2002,55,0.567,157.596
Sophie Ellis-Bextor,Murder On The Dancefloor,230013,2002,62,0.734,117.31
Justin Timberlake,Like I Love You,283626,2002,62,0.853,114.964
Mary J. Blige,Rainy Dayz,276373,2001,32,0.412,68.942
A1,Caught in the Middle,206466,2001,53,0.519,96.072
Eminem,Cleanin' Out My Closet,297840,2002,71,0.908,148.015
Ashanti,Happy,262226,2002,61,0.727,89.488
Delta Goodrem,Born to Try,251280,2003,54,0.542,133.838
P!nk,Get the Party Started,192533,2001,68,0.802,128.93
Alicia Keys,A Woman's Worth,303333,2001,52,0.652,75.09
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,161240,2002,56,0.838,133.592
Coldplay,Clocks,307879,2002,79,0.577,130.97
Missy Elliott,Work It,263226,2002,70,0.884,101.868
Ronan Keating,If Tomorrow Never Comes,214306,2002,60,0.555,79.01
Big Tymers,Still Fly,335613,2002,64,0.675,177.928
