Video ID,View Count,Month Posted
7350721262362168619,953500,March
7349996541832383790,205300,March
7349608702925819182,427500,March
7349196273079029034,1100000,March
7348823470374931754,465700,March
7348460340914523435,258200,March
7348131000905469227,394700,March
7347711183870283050,13700,March
7347308322174913835,49600,March
7346197368758373675,2100000,March
7345505561590418731,48200,March
7345121098159230254,18100,March
7344764512135957803,845100,March
7344438016049450283,221200,March
7344094741182696746,919800,March
7343659188570033451,23300,March
7343313716093521198,111400,March
7342906776771104042,7200000,March
7342197134466370858,30300,March
7341827269347872042,104400,March
7341477436032306474,19200,March
7341174155867409707,10500,February
7341117182467919150,43400,February
7341033928628817198,81300,February
7340701835746938158,52600,February
7340346793185611051,370500,February
7339999801007770922,1100000,February
7339685620937215275,19300,February
7339224200218987822,3900000,February
7338671353580571950,75900,February
7338498039742598443,41200,February
7338092423442140458,31800,February
7337744753028533547,55300,February
7336978320875081006,43000,February
7336606170104286507,37900,February
7336246214406475050,32100,February
7335857956568829227,770600,February
7335513878257798442,79100,February
7335121233727737134,183800,February
7334396404963527978,94500,February
7334065763210382634,56600,February
7333620052148718891,83800,February
7332958544968387882,96900,February
7332502644667239722,35800,February
7332037859563687211,78900,February
7331448177607937322,4600000,February
7331072505626791214,566700,February
7330805172366626090,41000,February
7330136175870594346,41300,January
7329693293766544686,26800,January
