,name,album,track_number,acousticness,danceability,energy,loudness,tempo,valence,popularity,duration_ms
65,Now That We Don't Talk (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],19,0.16,0.8,0.509,-9.386,109.994,0.0768,65,146436
66,Suburban Legends (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],20,0.212,0.695,0.607,-8.84,118.043,0.394,61,171818
67,Is It Over Now? (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],21,0.0486,0.599,0.651,-7.343,100.001,0.153,66,229477
68,Bad Blood (feat. Kendrick Lamar) (Taylor's Version),1989 (Taylor's Version) [Deluxe],22,0.0143,0.604,0.644,-6.931,170.088,0.197,74,199773
69,Welcome To New York (Taylor's Version),1989 (Taylor's Version),1,0.00661,0.76,0.602,-4.871,116.989,0.685,71,212600
70,Blank Space (Taylor's Version),1989 (Taylor's Version),2,0.0901,0.732,0.719,-5.469,96.035,0.71,80,231833
71,Style (Taylor's Version),1989 (Taylor's Version),3,0.000456,0.514,0.821,-4.803,94.884,0.298,79,231000
72,Out Of The Woods (Taylor's Version),1989 (Taylor's Version),4,0.000466,0.544,0.884,-5.973,91.981,0.184,73,235800
73,All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version),5,0.000778,0.589,0.713,-5.614,97.069,0.54,69,193289
74,Shake It Off (Taylor's Version),1989 (Taylor's Version),6,0.0112,0.632,0.805,-5.707,160.052,0.903,75,219209
75,I Wish You Would (Taylor's Version),1989 (Taylor's Version),7,0.00388,0.671,0.853,-6.568,118.032,0.523,68,207650
76,Bad Blood (Taylor's Version),1989 (Taylor's Version),8,0.0369,0.624,0.711,-6.347,169.999,0.347,71,211103
77,Wildest Dreams (Taylor's Version),1989 (Taylor's Version),9,0.0348,0.587,0.663,-7.439,139.993,0.539,77,220433
78,How You Get The Girl (Taylor's Version),1989 (Taylor's Version),10,0.00198,0.761,0.67,-5.956,120.014,0.519,67,247533
79,This Love (Taylor’s Version),1989 (Taylor's Version),11,0.302,0.47,0.494,-8.672,144.039,0.0524,67,250100
80,I Know Places (Taylor's Version),1989 (Taylor's Version),12,0.0846,0.572,0.807,-5.348,160.015,0.626,66,195700
81,Clean (Taylor's Version),1989 (Taylor's Version),13,0.297,0.782,0.379,-8.964,103.99,0.267,70,271000
82,Wonderland (Taylor's Version),1989 (Taylor's Version),14,0.0105,0.387,0.703,-5.956,123.18,0.32,67,245566
83,You Are In Love (Taylor's Version),1989 (Taylor's Version),15,0.572,0.554,0.509,-9.403,85.079,0.401,69,267389
84,New Romantics (Taylor's Version),1989 (Taylor's Version),16,0.00516,0.653,0.848,-5.936,122.017,0.724,74,230177
85,"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version),17,0.33,0.621,0.415,-13.187,77.978,0.313,77,180381
86,Say Don't Go (Taylor's Version) (From The Vault),1989 (Taylor's Version),18,0.0684,0.632,0.539,-8.375,109.962,0.186,73,279833
87,Now That We Don't Talk (Taylor's Version) (From The Vault),1989 (Taylor's Version),19,0.16,0.8,0.509,-9.386,109.994,0.0768,77,146436
88,Suburban Legends (Taylor's Version) (From The Vault),1989 (Taylor's Version),20,0.212,0.695,0.607,-8.84,118.043,0.394,68,171818
89,Is It Over Now? (Taylor's Version) (From The Vault),1989 (Taylor's Version),21,0.0486,0.599,0.651,-7.343,100.001,0.153,78,229477
90,Mine (Taylor's Version),Speak Now (Taylor's Version),1,0.00314,0.647,0.793,-2.903,121.101,0.5,74,231706
91,Sparks Fly (Taylor’s Version),Speak Now (Taylor's Version),2,0.0241,0.605,0.769,-2.413,114.921,0.366,72,261230
92,Back To December (Taylor's Version),Speak Now (Taylor's Version),3,0.00705,0.486,0.635,-3.994,141.868,0.235,74,294189
93,Speak Now (Taylor's Version),Speak Now (Taylor's Version),4,0.225,0.734,0.686,-2.926,119.002,0.598,69,242473
94,Dear John (Taylor's Version),Speak Now (Taylor's Version),5,0.0327,0.379,0.468,-5.07,119.447,0.115,69,405906
95,Mean (Taylor's Version),Speak Now (Taylor's Version),6,0.321,0.526,0.7,-3.95,163.949,0.596,69,238693
96,The Story Of Us (Taylor's Version),Speak Now (Taylor's Version),7,0.00136,0.516,0.784,-2.636,139.787,0.552,70,267653
97,Never Grow Up (Taylor's Version),Speak Now (Taylor's Version),8,0.867,0.684,0.339,-7.259,125.054,0.572,65,292920
98,Enchanted (Taylor's Version),Speak Now (Taylor's Version),9,0.016,0.52,0.553,-3.546,81.949,0.227,80,353253
99,Better Than Revenge (Taylor's Version),Speak Now (Taylor's Version),10,0.000795,0.505,0.893,-3.013,145.913,0.659,71,220306
100,Innocent (Taylor's Version),Speak Now (Taylor's Version),11,0.0972,0.524,0.611,-5.298,133.583,0.126,63,301221
101,Haunted (Taylor's Version),Speak Now (Taylor's Version),12,0.00552,0.44,0.916,-1.927,162.025,0.371,69,245413
102,Last Kiss (Taylor's Version),Speak Now (Taylor's Version),13,0.443,0.557,0.362,-8.641,79.573,0.187,69,369120
103,Long Live (Taylor's Version),Speak Now (Taylor's Version),14,0.0162,0.38,0.628,-4.054,203.826,0.0984,73,317960
104,Ours (Taylor’s Version),Speak Now (Taylor's Version),15,0.42,0.539,0.475,-8.411,159.824,0.293,66,235803
105,Superman (Taylor’s Version),Speak Now (Taylor's Version),16,0.00207,0.537,0.733,-3.506,131.898,0.347,62,274945
106,Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),17,0.018,0.547,0.854,-4.753,131.068,0.26,68,266466
107,When Emma Falls in Love (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),18,0.168,0.524,0.759,-4.714,77.879,0.234,66,252385
108,I Can See You (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),19,0.0577,0.695,0.768,-4.883,123.054,0.813,75,273186
109,Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),20,0.342,0.578,0.565,-8.064,147.781,0.351,67,306062
110,Foolish One (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),21,0.599,0.672,0.613,-4.709,97.041,0.557,68,311765
111,Timeless (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),22,0.332,0.629,0.578,-5.806,142.887,0.651,69,321396
112,Lavender Haze,Midnights (The Til Dawn Edition),1,0.23,0.735,0.449,-10.56,97.05,0.0955,63,202395
113,Maroon,Midnights (The Til Dawn Edition),2,0.0634,0.655,0.384,-8.29,108.058,0.0384,64,218270
114,Anti-Hero,Midnights (The Til Dawn Edition),3,0.121,0.633,0.648,-6.645,96.888,0.49,63,200690
115,Snow On The Beach (feat. Lana Del Rey),Midnights (The Til Dawn Edition),4,0.701,0.663,0.321,-13.527,110.021,0.153,60,256124
116,You're On Your Own Kid,Midnights (The Til Dawn Edition),5,0.447,0.696,0.39,-10.331,120.032,0.395,64,194206
117,Midnight Rain,Midnights (The Til Dawn Edition),6,0.71,0.604,0.375,-11.637,137.651,0.203,63,174782
118,Question...?,Midnights (The Til Dawn Edition),7,0.206,0.654,0.51,-8.767,108.874,0.105,61,210556
119,Vigilante Shit,Midnights (The Til Dawn Edition),8,0.166,0.872,0.267,-10.764,79.964,0.168,62,164801
120,Bejeweled,Midnights (The Til Dawn Edition),9,0.0593,0.687,0.551,-9.202,163.994,0.443,63,194165
121,Labyrinth,Midnights (The Til Dawn Edition),10,0.797,0.48,0.295,-15.512,110.018,0.132,61,247962
122,Karma,Midnights (The Til Dawn Edition),11,0.062,0.64,0.619,-7.108,90.008,0.121,62,204852
123,Sweet Nothing,Midnights (The Til Dawn Edition),12,0.968,0.336,0.161,-14.973,176.48,0.407,60,188496
124,Mastermind,Midnights (The Til Dawn Edition),13,0.565,0.66,0.343,-14.132,125.96,0.137,61,191039
125,The Great War,Midnights (The Til Dawn Edition),14,0.199,0.57,0.747,-8.93,96.016,0.574,62,240355
126,Bigger Than The Whole Sky,Midnights (The Til Dawn Edition),15,0.841,0.42,0.22,-12.584,165.564,0.0705,60,218502
127,Paris,Midnights (The Til Dawn Edition),16,0.103,0.703,0.518,-10.501,110.94,0.347,60,196258
128,High Infidelity,Midnights (The Til Dawn Edition),17,0.704,0.571,0.547,-10.141,175.933,0.768,59,231475
129,Glitch,Midnights (The Til Dawn Edition),18,0.314,0.677,0.47,-9.65,140.881,0.347,58,148781
130,Would've Could've Should've,Midnights (The Til Dawn Edition),19,0.393,0.485,0.846,-6.557,157.918,0.548,62,260361
131,Dear Reader,Midnights (The Til Dawn Edition),20,0.464,0.674,0.39,-11.944,107.891,0.151,59,225194
132,Hits Different,Midnights (The Til Dawn Edition),21,0.134,0.666,0.786,-6.556,106.02,0.261,72,234466
133,Snow On The Beach (feat. More Lana Del Rey),Midnights (The Til Dawn Edition),22,0.797,0.664,0.399,-10.997,109.937,0.265,73,229942
134,Karma (feat. Ice Spice),Midnights (The Til Dawn Edition),23,0.0574,0.615,0.626,-6.548,89.984,0.0705,64,201493
135,Lavender Haze,Midnights (3am Edition),1,0.23,0.735,0.449,-10.56,97.05,0.0955,61,202395
136,Maroon,Midnights (3am Edition),2,0.0634,0.655,0.384,-8.29,108.058,0.0384,61,218270
137,Anti-Hero,Midnights (3am Edition),3,0.121,0.633,0.648,-6.645,96.888,0.49,62,200690
138,Snow On The Beach (feat. Lana Del Rey),Midnights (3am Edition),4,0.701,0.663,0.321,-13.527,110.021,0.153,62,256124
139,You're On Your Own Kid,Midnights (3am Edition),5,0.447,0.696,0.39,-10.331,120.032,0.395,62,194206
140,Midnight Rain,Midnights (3am Edition),6,0.71,0.604,0.375,-11.637,137.651,0.203,61,174782
141,Question...?,Midnights (3am Edition),7,0.206,0.654,0.51,-8.767,108.874,0.105,58,210556
142,Vigilante Shit,Midnights (3am Edition),8,0.166,0.872,0.267,-10.764,79.964,0.168,61,164801
143,Bejeweled,Midnights (3am Edition),9,0.0593,0.687,0.551,-9.202,163.994,0.443,62,194165
144,Labyrinth,Midnights (3am Edition),10,0.797,0.48,0.295,-15.512,110.018,0.132,58,247962
145,Karma,Midnights (3am Edition),11,0.062,0.64,0.619,-7.108,90.008,0.121,65,204852
146,Sweet Nothing,Midnights (3am Edition),12,0.968,0.336,0.161,-14.973,176.48,0.407,60,188496
147,Mastermind,Midnights (3am Edition),13,0.565,0.66,0.343,-14.132,125.96,0.137,64,191039
148,The Great War,Midnights (3am Edition),14,0.199,0.57,0.747,-8.93,96.016,0.574,69,240355
149,Bigger Than The Whole Sky,Midnights (3am Edition),15,0.841,0.42,0.22,-12.584,165.564,0.0705,66,218502
150,Paris,Midnights (3am Edition),16,0.103,0.703,0.518,-10.501,110.94,0.347,66,196258
151,High Infidelity,Midnights (3am Edition),17,0.704,0.571,0.547,-10.141,175.933,0.768,64,231475
152,Glitch,Midnights (3am Edition),18,0.314,0.677,0.47,-9.65,140.881,0.347,63,148781
153,Would've Could've Should've,Midnights (3am Edition),19,0.393,0.485,0.846,-6.557,157.918,0.548,68,260361
154,Dear Reader,Midnights (3am Edition),20,0.464,0.674,0.39,-11.944,107.891,0.151,64,225194
155,Lavender Haze,Midnights,1,0.23,0.735,0.449,-10.56,97.05,0.0955,77,202395
156,Maroon,Midnights,2,0.0634,0.655,0.384,-8.29,108.058,0.0384,72,218270
157,Anti-Hero,Midnights,3,0.121,0.633,0.648,-6.645,96.888,0.49,85,200690
158,Snow On The Beach (feat. Lana Del Rey),Midnights,4,0.701,0.663,0.321,-13.527,110.021,0.153,69,256124
159,You're On Your Own Kid,Midnights,5,0.447,0.696,0.39,-10.331,120.032,0.395,77,194206
160,Midnight Rain,Midnights,6,0.71,0.604,0.375,-11.637,137.651,0.203,76,174782
161,Question...?,Midnights,7,0.206,0.654,0.51,-8.767,108.874,0.105,66,210556
162,Vigilante Shit,Midnights,8,0.166,0.872,0.267,-10.764,79.964,0.168,74,164801
163,Bejeweled,Midnights,9,0.0593,0.687,0.551,-9.202,163.994,0.443,77,194165
164,Labyrinth,Midnights,10,0.797,0.48,0.295,-15.512,110.018,0.132,70,247962
165,Karma,Midnights,11,0.062,0.64,0.619,-7.108,90.008,0.121,80,204852
166,Sweet Nothing,Midnights,12,0.968,0.336,0.161,-14.973,176.48,0.407,69,188496
167,Mastermind,Midnights,13,0.565,0.66,0.343,-14.132,125.96,0.137,72,191039
168,State Of Grace (Taylor's Version),Red (Taylor's Version),1,0.000328,0.594,0.713,-5.314,129.958,0.328,65,295413
169,Red (Taylor's Version),Red (Taylor's Version),2,0.00108,0.516,0.777,-4.908,125.047,0.408,73,223093
170,Treacherous (Taylor's Version),Red (Taylor's Version),3,0.0344,0.645,0.593,-6.506,109.984,0.299,65,242720
171,I Knew You Were Trouble (Taylor's Version),Red (Taylor's Version),4,0.0129,0.584,0.557,-6.371,154.008,0.767,76,219760
172,All Too Well (Taylor's Version),Red (Taylor's Version),5,0.0171,0.44,0.528,-7.809,185.972,0.132,71,329160
173,22 (Taylor's Version),Red (Taylor's Version),6,0.000443,0.642,0.695,-5.62,103.984,0.642,76,230960
174,I Almost Do (Taylor's Version),Red (Taylor's Version),7,0.0167,0.511,0.559,-6.587,145.88,0.248,64,244586
175,We Are Never Ever Getting Back Together (Taylor's Version),Red (Taylor's Version),8,0.0317,0.567,0.686,-6.139,172.014,0.716,76,193146
176,Stay Stay Stay (Taylor's Version),Red (Taylor's Version),9,0.0848,0.693,0.681,-7.039,100.02,0.663,64,205786
177,The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),Red (Taylor's Version),10,0.0399,0.502,0.534,-5.954,94.05,0.155,67,299080
178,Holy Ground (Taylor's Version),Red (Taylor's Version),11,0.0288,0.622,0.809,-5.623,156.894,0.511,64,202960
179,Sad Beautiful Tragic (Taylor's Version),Red (Taylor's Version),12,0.622,0.601,0.406,-11.827,130.059,0.232,65,284773
180,The Lucky One (Taylor's Version),Red (Taylor's Version),13,0.066,0.686,0.571,-7.138,117.889,0.538,63,240466
181,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),Red (Taylor's Version),14,0.271,0.498,0.61,-5.098,79.918,0.474,70,245426
182,Starlight (Taylor's Version),Red (Taylor's Version),15,0.00324,0.628,0.685,-5.864,126.014,0.605,63,220413
183,Begin Again (Taylor's Version),Red (Taylor's Version),16,0.075,0.519,0.527,-7.673,78.915,0.267,66,238866
184,The Moment I Knew (Taylor's Version),Red (Taylor's Version),17,0.0494,0.636,0.402,-7.855,125.952,0.208,63,285280
185,Come Back...Be Here (Taylor's Version),Red (Taylor's Version),18,0.0158,0.46,0.632,-6.031,79.846,0.399,66,223333
186,Girl At Home (Taylor's Version),Red (Taylor's Version),19,0.00955,0.691,0.736,-6.974,125.089,0.612,61,220520
187,State Of Grace (Acoustic Version) (Taylor's Version),Red (Taylor's Version),20,0.663,0.445,0.131,-13.778,208.918,0.101,61,321640
188,Ronan (Taylor's Version),Red (Taylor's Version),21,0.661,0.623,0.279,-10.802,116.04,0.38,58,264253
189,Better Man (Taylor's Version) (From The Vault),Red (Taylor's Version),22,0.214,0.473,0.579,-5.824,73.942,0.255,67,297013
190,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Red (Taylor's Version),23,0.817,0.606,0.377,-9.455,101.96,0.446,70,258812
191,Babe (Taylor's Version) (From The Vault),Red (Taylor's Version),24,0.0538,0.584,0.743,-7.075,167.844,0.746,67,224240
192,Message In A Bottle (Taylor's Version) (From The Vault),Red (Taylor's Version),25,0.00188,0.622,0.791,-6.106,115.915,0.494,70,225960
193,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),Red (Taylor's Version),26,0.167,0.391,0.715,-4.516,149.654,0.473,70,285106
194,Forever Winter (Taylor's Version) (From The Vault),Red (Taylor's Version),27,0.256,0.611,0.552,-5.828,116.012,0.41,63,263533
195,Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),Red (Taylor's Version),28,0.817,0.61,0.488,-6.918,125.039,0.443,64,240226
196,The Very First Night (Taylor's Version) (From The Vault),Red (Taylor's Version),29,0.00115,0.678,0.733,-5.025,121.009,0.581,69,200280
197,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Red (Taylor's Version),30,0.274,0.631,0.518,-8.771,93.023,0.205,80,613026
198,Fearless (Taylor’s Version),Fearless (Taylor's Version),1,0.0122,0.569,0.741,-4.963,100.118,0.43,78,241591
199,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2,0.116,0.559,0.646,-4.61,95.466,0.289,66,294419
200,Love Story (Taylor’s Version),Fearless (Taylor's Version),3,0.13,0.627,0.792,-4.311,119.054,0.415,78,235766
201,Hey Stephen (Taylor’s Version),Fearless (Taylor's Version),4,0.106,0.788,0.571,-6.135,115.99,0.797,65,254254
202,White Horse (Taylor’s Version),Fearless (Taylor's Version),5,0.369,0.423,0.517,-7.377,185.262,0.366,67,234515
203,You Belong With Me (Taylor’s Version),Fearless (Taylor's Version),6,0.0623,0.632,0.773,-4.856,130.033,0.474,81,231124
204,Breathe (feat. Colbie Caillat) (Taylor’s Version),Fearless (Taylor's Version),7,0.156,0.506,0.626,-6.066,148.035,0.321,63,263377
205,Tell Me Why (Taylor’s Version),Fearless (Taylor's Version),8,0.0222,0.578,0.909,-3.669,100.023,0.541,62,200575
206,You’re Not Sorry (Taylor’s Version),Fearless (Taylor's Version),9,0.0538,0.506,0.444,-4.99,133.873,0.241,64,261842
207,The Way I Loved You (Taylor’s Version),Fearless (Taylor's Version),10,0.0033,0.402,0.732,-4.665,161.032,0.472,76,243136
208,Forever & Always (Taylor’s Version),Fearless (Taylor's Version),11,0.0231,0.598,0.821,-4.433,128.03,0.673,67,225328
209,The Best Day (Taylor’s Version),Fearless (Taylor's Version),12,0.488,0.642,0.576,-8.524,125,0.469,61,245290
210,Change (Taylor’s Version),Fearless (Taylor's Version),13,0.000191,0.499,0.815,-4.063,95.999,0.344,60,279359
211,Jump Then Fall (Taylor’s Version),Fearless (Taylor's Version),14,0.0474,0.572,0.69,-6.201,160.111,0.624,62,237580
212,Untouchable (Taylor’s Version),Fearless (Taylor's Version),15,0.0181,0.393,0.531,-6.112,200.391,0.224,63,312107
213,Forever & Always (Piano Version) (Taylor’s Version),Fearless (Taylor's Version),16,0.819,0.546,0.273,-9.208,118.753,0.271,61,267833
214,Come In With The Rain (Taylor’s Version),Fearless (Taylor's Version),17,0.0406,0.476,0.564,-5.677,143.929,0.167,59,237338
