,name,album,track_number,acousticness,danceability,energy,loudness,tempo,valence,popularity,duration_ms
215,Superstar (Taylor’s Version),Fearless (Taylor's Version),18,0.157,0.454,0.555,-6.69,171.862,0.171,59,263865
216,The Other Side Of The Door (Taylor’s Version),Fearless (Taylor's Version),19,0.0279,0.432,0.873,-4.367,163.936,0.629,64,238443
217,Today Was A Fairytale (Taylor’s Version),Fearless (Taylor's Version),20,0.0135,0.482,0.779,-5.025,158.162,0.328,62,241822
218,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),21,0.816,0.599,0.494,-7.61,142.893,0.44,59,220839
219,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),22,0.162,0.66,0.817,-6.269,135.942,0.714,70,277591
220,We Were Happy (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),23,0.849,0.609,0.373,-8.819,106.007,0.13,62,244236
221,That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),24,0.225,0.588,0.608,-7.062,90.201,0.508,64,189495
222,Don’t You (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),25,0.514,0.563,0.473,-11.548,101.934,0.405,63,208608
223,Bye Bye Baby (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),26,0.334,0.624,0.624,-7.86,80.132,0.527,61,242157
224,willow,evermore (deluxe version),1,0.833,0.392,0.574,-9.195,81.112,0.529,66,214706
225,champagne problems,evermore (deluxe version),2,0.92,0.462,0.24,-12.077,171.319,0.32,67,244000
226,gold rush,evermore (deluxe version),3,0.83,0.512,0.462,-10.491,112.05,0.353,64,185320
227,‘tis the damn season,evermore (deluxe version),4,0.735,0.575,0.434,-8.193,145.916,0.348,64,229840
228,tolerate it,evermore (deluxe version),5,0.878,0.316,0.361,-10.381,74.952,0.221,66,245440
229,no body no crime (feat. HAIM),evermore (deluxe version),6,0.418,0.546,0.613,-7.589,79.015,0.535,64,215626
230,happiness,evermore (deluxe version),7,0.87,0.559,0.334,-10.733,122.079,0.211,62,315146
231,dorothea,evermore (deluxe version),8,0.696,0.605,0.488,-8.322,119.966,0.354,61,225880
232,coney island (feat. The National),evermore (deluxe version),9,0.819,0.537,0.537,-11.266,107.895,0.292,63,275320
233,ivy,evermore (deluxe version),10,0.855,0.515,0.545,-9.277,88.856,0.535,63,260440
234,cowboy like me,evermore (deluxe version),11,0.768,0.604,0.517,-9.014,127.967,0.511,63,275040
235,long story short,evermore (deluxe version),12,0.66,0.546,0.73,-7.704,157.895,0.573,62,215920
236,marjorie,evermore (deluxe version),13,0.876,0.535,0.561,-11.609,96.103,0.287,63,257773
237,closure,evermore (deluxe version),14,0.835,0.689,0.704,-10.813,151.884,0.92,60,180653
238,evermore (feat. Bon Iver),evermore (deluxe version),15,0.937,0.39,0.27,-10.673,125.177,0.32,64,304106
239,right where you left me - bonus track,evermore (deluxe version),16,0.769,0.581,0.619,-6.524,137.915,0.645,74,245026
240,it’s time to go - bonus track,evermore (deluxe version),17,0.801,0.592,0.41,-12.426,151.923,0.416,66,254640
241,willow,evermore,1,0.833,0.392,0.574,-9.195,81.112,0.529,77,214706
242,champagne problems,evermore,2,0.92,0.462,0.24,-12.077,171.319,0.32,77,244000
243,gold rush,evermore,3,0.83,0.512,0.462,-10.491,112.05,0.353,67,185320
244,‘tis the damn season,evermore,4,0.735,0.575,0.434,-8.193,145.916,0.348,65,229840
245,tolerate it,evermore,5,0.878,0.316,0.361,-10.381,74.952,0.221,72,245440
246,no body no crime (feat. HAIM),evermore,6,0.418,0.546,0.613,-7.589,79.015,0.535,66,215626
247,happiness,evermore,7,0.87,0.559,0.334,-10.733,122.079,0.211,64,315146
248,dorothea,evermore,8,0.696,0.605,0.488,-8.322,119.966,0.354,62,225880
249,coney island (feat. The National),evermore,9,0.819,0.537,0.537,-11.266,107.895,0.292,61,275320
250,ivy,evermore,10,0.855,0.515,0.545,-9.277,88.856,0.535,66,260440
251,cowboy like me,evermore,11,0.768,0.604,0.517,-9.014,127.967,0.511,65,275040
252,long story short,evermore,12,0.66,0.546,0.73,-7.704,157.895,0.573,62,215920
253,marjorie,evermore,13,0.876,0.535,0.561,-11.609,96.103,0.287,70,257773
254,closure,evermore,14,0.835,0.689,0.704,-10.813,151.884,0.92,59,180653
255,evermore (feat. Bon Iver),evermore,15,0.937,0.39,0.27,-10.673,125.177,0.32,63,304106
256,the 1,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],1,0.75,0.78,0.361,-6.942,139.902,0.163,48,210240
257,cardigan,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2,0.525,0.612,0.58,-8.572,130.045,0.534,49,239560
258,the last great american dynasty,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],3,0.481,0.688,0.653,-8.558,147.991,0.701,47,231000
259,exile (feat. Bon Iver),folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],4,0.761,0.31,0.374,-8.464,75.938,0.16,48,285640
260,my tears ricochet,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],5,0.814,0.456,0.265,-10.663,129.947,0.112,48,255893
261,mirrorball,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],6,0.686,0.549,0.417,-10.064,110.137,0.347,46,208973
262,seven,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],7,0.888,0.602,0.494,-10.813,94.955,0.374,45,208906
263,august,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],8,0.553,0.387,0.634,-9.222,89.567,0.42,48,261920
264,this is me trying,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],9,0.312,0.511,0.478,-9.837,135.882,0.408,47,195106
265,illicit affairs,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],10,0.862,0.529,0.304,-10.567,119.58,0.44,46,190893
266,invisible string,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11,0.859,0.651,0.459,-11.128,83.455,0.454,46,252880
267,mad woman,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],12,0.67,0.593,0.7,-9.016,141.898,0.451,44,237266
268,epiphany,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],13,0.727,0.317,0.254,-13.679,93.933,0.103,43,289746
269,betty,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],14,0.589,0.595,0.376,-8.767,95.946,0.476,45,294520
270,peace,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],15,0.916,0.644,0.284,-12.879,150.072,0.328,43,234000
271,hoax,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],16,0.964,0.676,0.178,-15.01,118.84,0.404,43,220040
272,the lakes - bonus track,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],17,0.842,0.313,0.258,-11.532,179.947,0.268,45,211813
273,the 1 - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],1,0.898,0.708,0.25,-10.731,139.803,0.156,54,219893
274,cardigan - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2,0.88,0.395,0.234,-9.704,86.478,0.247,54,230680
275,the last great american dynasty - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],3,0.743,0.64,0.618,-11.715,147.948,0.614,51,232346
276,exile (feat. Bon Iver) - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],4,0.848,0.359,0.305,-10.295,151.956,0.108,53,279893
277,my tears ricochet - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],5,0.946,0.531,0.172,-12.34,129.007,0.168,55,295173
278,mirrorball - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],6,0.78,0.509,0.386,-8.434,109.993,0.109,53,237373
279,seven - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],7,0.914,0.694,0.449,-11.49,94.963,0.363,51,208986
280,august - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],8,0.5,0.554,0.663,-8.961,89.977,0.545,54,260000
281,this is me trying - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],9,0.928,0.435,0.332,-11.611,68.097,0.157,54,209293
282,illicit affairs - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],10,0.883,0.489,0.235,-10.274,117.699,0.435,53,183720
283,invisible string - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11,0.942,0.59,0.282,-10.542,83.438,0.351,51,257359
284,mad woman - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],12,0.887,0.663,0.465,-10.463,141.834,0.346,50,238333
285,epiphany - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],13,0.916,0.524,0.2,-13.004,93.87,0.113,49,274880
286,betty - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],14,0.841,0.538,0.316,-9.5,95.68,0.518,51,290040
287,peace - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],15,0.93,0.619,0.344,-11.472,149.897,0.513,50,214373
288,hoax - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],16,0.962,0.682,0.155,-13.083,118.832,0.483,51,221800
289,the lakes - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],17,0.794,0.606,0.221,-11.767,89.844,0.112,53,199733
290,the 1,folklore (deluxe version),1,0.75,0.78,0.361,-6.942,139.902,0.163,68,210240
291,cardigan,folklore (deluxe version),2,0.525,0.612,0.58,-8.572,130.045,0.534,68,239560
292,the last great american dynasty,folklore (deluxe version),3,0.481,0.688,0.653,-8.558,147.991,0.701,66,231000
293,exile (feat. Bon Iver),folklore (deluxe version),4,0.761,0.31,0.374,-8.464,75.938,0.16,68,285640
294,my tears ricochet,folklore (deluxe version),5,0.814,0.456,0.265,-10.663,129.947,0.112,68,255893
295,mirrorball,folklore (deluxe version),6,0.686,0.549,0.417,-10.064,110.137,0.347,66,208973
296,seven,folklore (deluxe version),7,0.888,0.602,0.494,-10.813,94.955,0.374,66,208906
297,august,folklore (deluxe version),8,0.553,0.387,0.634,-9.222,89.567,0.42,68,261920
298,this is me trying,folklore (deluxe version),9,0.312,0.511,0.478,-9.837,135.882,0.408,66,195106
299,illicit affairs,folklore (deluxe version),10,0.862,0.529,0.304,-10.567,119.58,0.44,66,190893
300,invisible string,folklore (deluxe version),11,0.859,0.651,0.459,-11.128,83.455,0.454,66,252880
301,mad woman,folklore (deluxe version),12,0.67,0.593,0.7,-9.016,141.898,0.451,64,237266
302,epiphany,folklore (deluxe version),13,0.727,0.317,0.254,-13.679,93.933,0.103,63,289746
303,betty,folklore (deluxe version),14,0.589,0.595,0.376,-8.767,95.946,0.476,65,294520
304,peace,folklore (deluxe version),15,0.916,0.644,0.284,-12.879,150.072,0.328,63,234000
305,hoax,folklore (deluxe version),16,0.964,0.676,0.178,-15.01,118.84,0.404,63,220040
306,the lakes - bonus track,folklore (deluxe version),17,0.842,0.313,0.258,-11.532,179.947,0.268,67,211813
307,the 1,folklore,1,0.757,0.777,0.357,-6.942,139.884,0.172,74,210251
308,cardigan,folklore,2,0.537,0.613,0.581,-8.588,130.033,0.551,84,239560
309,the last great american dynasty,folklore,3,0.467,0.686,0.662,-8.505,147.922,0.706,70,230999
310,exile (feat. Bon Iver),folklore,4,0.778,0.298,0.38,-8.426,75.602,0.152,77,285634
311,my tears ricochet,folklore,5,0.806,0.469,0.263,-10.63,129.86,0.112,78,255893
312,mirrorball,folklore,6,0.687,0.553,0.413,-10.037,110.107,0.379,73,208977
313,seven,folklore,7,0.9,0.596,0.488,-10.769,94.922,0.415,70,208906
314,august,folklore,8,0.538,0.532,0.623,-9.208,89.937,0.403,84,261922
315,this is me trying,folklore,9,0.314,0.515,0.476,-9.843,135.886,0.412,73,195097
316,illicit affairs,folklore,10,0.881,0.559,0.31,-10.445,119.845,0.46,77,190898
317,invisible string,folklore,11,0.838,0.653,0.452,-11.143,83.433,0.45,73,252880
318,mad woman,folklore,12,0.655,0.592,0.699,-8.995,141.916,0.506,65,237258
319,epiphany,folklore,13,0.731,0.175,0.267,-13.69,94.203,0.106,64,289749
320,betty,folklore,14,0.6,0.593,0.377,-8.761,95.939,0.502,73,294521
321,peace,folklore,15,0.918,0.647,0.272,-12.906,150.044,0.339,65,234000
322,hoax,folklore,16,0.966,0.662,0.181,-15.065,118.819,0.429,65,220042
323,I Forgot That You Existed,Lover,1,0.298,0.664,0.316,-10.345,92.875,0.541,71,170640
324,Cruel Summer,Lover,2,0.117,0.552,0.702,-5.707,169.994,0.564,93,178426
325,Lover,Lover,3,0.492,0.359,0.543,-7.582,68.534,0.453,86,221306
326,The Man,Lover,4,0.0767,0.777,0.658,-5.191,110.048,0.633,81,190360
327,The Archer,Lover,5,0.12,0.292,0.574,-9.375,124.344,0.166,75,211240
328,I Think He Knows,Lover,6,0.00889,0.897,0.366,-8.029,100.003,0.416,72,173386
329,Miss Americana & The Heartbreak Prince,Lover,7,0.028,0.662,0.747,-6.926,150.088,0.487,79,234146
330,Paper Rings,Lover,8,0.0129,0.811,0.719,-6.553,103.979,0.865,78,222400
331,Cornelia Street,Lover,9,0.781,0.824,0.624,-9.728,102.012,0.248,74,287266
332,Death By A Thousand Cuts,Lover,10,0.454,0.712,0.732,-6.754,94.071,0.313,72,198533
333,London Boy,Lover,11,0.0246,0.695,0.71,-6.639,157.925,0.557,74,190240
334,Soon You’ll Get Better (feat. The Chicks),Lover,12,0.907,0.433,0.182,-12.566,207.476,0.421,66,201586
335,False God,Lover,13,0.736,0.739,0.32,-10.862,79.97,0.351,73,200306
336,You Need To Calm Down,Lover,14,0.00929,0.771,0.671,-5.617,85.026,0.714,80,171360
337,Afterglow,Lover,15,0.13,0.756,0.449,-8.746,111.011,0.399,74,223293
338,ME! (feat. Brendon Urie of Panic! At The Disco),Lover,16,0.033,0.61,0.83,-4.105,182.162,0.728,75,193000
339,It’s Nice To Have A Friend,Lover,17,0.971,0.737,0.175,-9.912,70.008,0.545,66,150440
340,Daylight,Lover,18,0.808,0.557,0.496,-9.602,149.983,0.265,78,293453
341,...Ready For It?,reputation,1,0.0527,0.613,0.764,-6.509,160.015,0.417,82,208186
342,End Game,reputation,2,0.00845,0.649,0.589,-6.237,159.073,0.151,74,244826
343,I Did Something Bad,reputation,3,0.0679,0.696,0.602,-6.156,82.989,0.305,75,238253
344,Don’t Blame Me,reputation,4,0.106,0.615,0.534,-6.719,135.917,0.193,85,236413
345,Delicate,reputation,5,0.216,0.75,0.404,-10.178,95.045,0.0499,81,232253
346,Look What You Made Me Do,reputation,6,0.204,0.766,0.709,-6.471,128.07,0.506,81,211853
347,So It Goes...,reputation,7,0.122,0.574,0.61,-7.283,74.957,0.374,69,227906
348,Gorgeous,reputation,8,0.0713,0.8,0.535,-6.684,92.027,0.451,76,209680
349,Getaway Car,reputation,9,0.00465,0.562,0.689,-6.745,172.054,0.351,79,233626
350,King Of My Heart,reputation,10,0.00882,0.675,0.703,-7.902,110.01,0.314,72,214320
351,Dancing With Our Hands Tied,reputation,11,0.0604,0.624,0.691,-6.686,160.024,0.284,72,211506
352,Dress,reputation,12,0.0329,0.719,0.469,-8.792,120.085,0.0851,75,230373
353,This Is Why We Can't Have Nice Things,reputation,13,0.0156,0.567,0.789,-5.986,163.96,0.438,70,207133
354,Call It What You Want,reputation,14,0.186,0.598,0.504,-9.874,163.954,0.252,75,203506
355,New Year’s Day,reputation,15,0.921,0.661,0.151,-12.864,94.922,0.23,70,235466
356,All Too Well,reputation Stadium Tour Surprise Song Playlist,1,0.0448,0.463,0.605,-7.803,186.113,0.317,35,329160
357,Wildest Dreams,reputation Stadium Tour Surprise Song Playlist,2,0.0703,0.55,0.688,-7.416,139.998,0.461,38,220440
358,The Best Day,reputation Stadium Tour Surprise Song Playlist,3,0.638,0.668,0.448,-8.567,126.066,0.386,30,246306
359,Red,reputation Stadium Tour Surprise Song Playlist,4,0.0779,0.605,0.899,-4.273,124.982,0.647,33,223093
360,Holy Ground,reputation Stadium Tour Surprise Song Playlist,5,0.0159,0.627,0.816,-6.698,157.043,0.648,29,202960
361,Teardrops On My Guitar - Radio Single Remix,reputation Stadium Tour Surprise Song Playlist,6,0.315,0.626,0.427,-6.993,99.962,0.265,32,204706
362,Our Song,reputation Stadium Tour Surprise Song Playlist,7,0.114,0.545,0.663,-5.05,178.016,0.565,36,203440
363,22,reputation Stadium Tour Surprise Song Playlist,8,0.00254,0.66,0.732,-6.565,104.009,0.677,35,232120
364,I Knew You Were Trouble.,reputation Stadium Tour Surprise Song Playlist,9,0.00476,0.536,0.464,-6.761,77.318,0.666,36,219720
365,I Don’t Wanna Live Forever (Fifty Shades Darker),reputation Stadium Tour Surprise Song Playlist,10,0.059,0.73,0.444,-8.418,117.979,0.106,79,247160
366,Mean,reputation Stadium Tour Surprise Song Playlist,11,0.449,0.576,0.755,-3.982,163.884,0.791,32,238693
367,How You Get The Girl,reputation Stadium Tour Surprise Song Playlist,12,0.00363,0.764,0.657,-6.112,119.995,0.546,31,247533
368,So It Goes...,reputation Stadium Tour Surprise Song Playlist,13,0.122,0.578,0.61,-7.283,74.996,0.371,54,227906
369,Fifteen,reputation Stadium Tour Surprise Song Playlist,14,0.07,0.549,0.63,-4.436,95.124,0.217,29,295320
370,Mine,reputation Stadium Tour Surprise Song Playlist,15,0.00311,0.622,0.781,-2.945,121.029,0.662,37,231866
371,Sparks Fly,reputation Stadium Tour Surprise Song Playlist,16,0.041,0.61,0.782,-2.98,114.974,0.399,31,262920
372,State Of Grace,reputation Stadium Tour Surprise Song Playlist,17,0.000182,0.591,0.828,-5.895,129.958,0.383,28,295720
373,Haunted,reputation Stadium Tour Surprise Song Playlist,18,0.0655,0.43,0.948,-2.622,162.026,0.371,30,245413
374,Never Grow Up,reputation Stadium Tour Surprise Song Playlist,19,0.824,0.714,0.309,-8.828,124.892,0.546,28,292920
375,Treacherous,reputation Stadium Tour Surprise Song Playlist,20,0.101,0.704,0.621,-8.086,109.996,0.395,27,242760
376,Babe,reputation Stadium Tour Surprise Song Playlist,21,0.0221,0.577,0.785,-3.266,171.78,0.647,29,215106
377,Welcome To New York,reputation Stadium Tour Surprise Song Playlist,22,0.0348,0.789,0.634,-4.762,117,0.658,31,212600
378,Fearless,reputation Stadium Tour Surprise Song Playlist,23,0.0381,0.603,0.717,-4.401,100.163,0.429,29,242973
379,Enchanted,reputation Stadium Tour Surprise Song Playlist,24,0.0707,0.536,0.629,-3.907,81.963,0.222,40,353253
380,Change,reputation Stadium Tour Surprise Song Playlist,25,0.00418,0.543,0.764,-4.206,95.999,0.233,26,281053
381,Ours,reputation Stadium Tour Surprise Song Playlist,26,0.469,0.609,0.56,-7.392,159.838,0.228,30,239346
382,Out Of The Woods,reputation Stadium Tour Surprise Song Playlist,27,0.000743,0.553,0.841,-6.937,91.999,0.339,32,235800
383,Come Back...Be Here,reputation Stadium Tour Surprise Song Playlist,28,0.00471,0.486,0.548,-6.291,79.873,0.22,28,223920
384,A Place in this World,reputation Stadium Tour Surprise Song Playlist,29,0.0576,0.573,0.767,-2.929,114.985,0.438,27,202080
385,This Love,reputation Stadium Tour Surprise Song Playlist,30,0.679,0.48,0.435,-8.795,143.942,0.108,28,250093
386,The Lucky One,reputation Stadium Tour Surprise Song Playlist,31,0.0352,0.706,0.505,-7.639,117.935,0.561,26,240266
387,Invisible,reputation Stadium Tour Surprise Song Playlist,32,0.56,0.608,0.384,-5.732,95.963,0.217,27,205853
388,Breathe,reputation Stadium Tour Surprise Song Playlist,33,0.416,0.442,0.48,-7.405,73.849,0.167,31,264946
389,Better Man,reputation Stadium Tour Surprise Song Playlist,34,0.121,0.503,0.844,-3.648,143.941,0.508,30,263613
390,Jump Then Fall,reputation Stadium Tour Surprise Song Playlist,35,0.113,0.617,0.699,-5.712,79.979,0.827,26,238093
391,Begin Again,reputation Stadium Tour Surprise Song Playlist,36,0.197,0.516,0.526,-8.349,78.985,0.312,27,239426
392,Tied Together with a Smile,reputation Stadium Tour Surprise Song Playlist,37,0.523,0.478,0.547,-4.948,146.134,0.238,27,251213
393,The Story Of Us,reputation Stadium Tour Surprise Song Playlist,38,0.00556,0.547,0.807,-3.63,139.911,0.645,28,267653
394,Forever & Always,reputation Stadium Tour Surprise Song Playlist,39,0.0805,0.607,0.829,-5.02,128.055,0.521,26,226293
395,Hey Stephen,reputation Stadium Tour Surprise Song Playlist,40,0.191,0.843,0.541,-7.361,116.002,0.839,26,256040
396,Speak Now,reputation Stadium Tour Surprise Song Playlist,41,0.0991,0.712,0.603,-3.753,118.979,0.714,28,243346
397,Wonderland,reputation Stadium Tour Surprise Song Playlist,42,0.0493,0.422,0.692,-5.447,184.019,0.197,30,245560
398,White Horse,reputation Stadium Tour Surprise Song Playlist,43,0.311,0.578,0.348,-8.066,92.671,0.218,28,235400
399,I'm Only Me When I'm With You,reputation Stadium Tour Surprise Song Playlist,44,0.00454,0.556,0.933,-3.685,143.929,0.521,28,215600
400,Starlight,reputation Stadium Tour Surprise Song Playlist,45,0.0186,0.649,0.779,-5.798,126.014,0.617,27,220600
401,I Know Places,reputation Stadium Tour Surprise Song Playlist,46,0.243,0.603,0.755,-4.991,159.971,0.496,28,195706
402,Welcome To New York,1989 (Deluxe),1,0.0348,0.789,0.634,-4.762,116.992,0.658,48,212600
403,Blank Space,1989 (Deluxe),2,0.103,0.76,0.703,-5.412,95.997,0.57,81,231826
404,Style,1989 (Deluxe),3,0.00245,0.588,0.791,-5.595,94.933,0.487,79,231000
405,Out Of The Woods,1989 (Deluxe),4,0.000743,0.553,0.841,-6.937,92.008,0.338,59,235800
406,All You Had To Do Was Stay,1989 (Deluxe),5,0.00201,0.605,0.725,-5.729,96.97,0.539,47,193293
407,Shake It Off,1989 (Deluxe),6,0.0647,0.647,0.8,-5.384,160.078,0.942,80,219200
408,I Wish You Would,1989 (Deluxe),7,0.0158,0.653,0.893,-5.966,118.035,0.513,51,207440
409,Bad Blood,1989 (Deluxe),8,0.0885,0.646,0.794,-6.104,170.216,0.287,52,211933
410,Wildest Dreams,1989 (Deluxe),9,0.0692,0.55,0.688,-7.416,139.997,0.465,52,220440
411,How You Get The Girl,1989 (Deluxe),10,0.00364,0.765,0.656,-6.112,119.997,0.545,55,247533
412,This Love,1989 (Deluxe),11,0.678,0.481,0.435,-8.795,143.95,0.107,50,250093
413,I Know Places,1989 (Deluxe),12,0.245,0.602,0.755,-4.991,159.965,0.495,50,195706
414,Clean,1989 (Deluxe),13,0.232,0.815,0.377,-7.754,103.97,0.211,55,271000
415,Wonderland,1989 (Deluxe),14,0.0493,0.422,0.692,-5.447,184.014,0.197,55,245560
416,You Are In Love,1989 (Deluxe),15,0.707,0.474,0.48,-8.894,170.109,0.319,55,267106
417,New Romantics,1989 (Deluxe),16,0.00463,0.633,0.889,-5.87,121.956,0.584,62,230466
418,I Know Places - Voice Memo,1989 (Deluxe),17,0.829,0.592,0.128,-17.932,78.828,0.15,0,216333
419,I Wish You Would - Voice Memo,1989 (Deluxe),18,0.717,0.781,0.357,-16.394,118.317,0.645,0,107133
420,Blank Space - Voice Memo,1989 (Deluxe),19,0.801,0.675,0.234,-15.064,127.296,0.578,0,131186
421,Welcome To New York,1989,1,0.038,0.793,0.634,-4.807,117.023,0.615,59,212600
422,Blank Space,1989,2,0.085,0.752,0.678,-5.421,96.009,0.583,60,231826
423,Style,1989,3,0.00256,0.598,0.786,-5.572,95.021,0.456,56,231000
424,Out Of The Woods,1989,4,0.00103,0.552,0.841,-6.938,91.993,0.342,46,235800
425,All You Had To Do Was Stay,1989,5,0.00196,0.602,0.735,-5.778,96.969,0.472,53,193293
426,Shake It Off,1989,6,0.0561,0.648,0.785,-5.414,160.02,0.943,53,219200
427,I Wish You Would,1989,7,0.016,0.649,0.898,-5.963,118.027,0.503,42,207440
428,Bad Blood,1989,8,0.0871,0.652,0.802,-6.114,170.157,0.295,71,211933
429,Wildest Dreams,1989,9,0.0709,0.553,0.664,-7.417,140.06,0.467,75,220440
430,How You Get The Girl,1989,10,0.00463,0.764,0.659,-6.136,119.982,0.525,43,247533
431,This Love,1989,11,0.635,0.485,0.459,-8.768,71.981,0.0858,42,250093
432,I Know Places,1989,12,0.231,0.595,0.763,-4.991,159.959,0.507,43,195706
433,Clean,1989,13,0.242,0.81,0.38,-7.755,103.981,0.211,42,271000
434,State Of Grace,Red (Deluxe Edition),1,0.000197,0.588,0.825,-5.882,129.968,0.397,43,295720
435,Red,Red (Deluxe Edition),2,0.0773,0.602,0.896,-4.267,124.978,0.641,54,223093
436,Treacherous,Red (Deluxe Edition),3,0.101,0.704,0.621,-8.086,109.995,0.395,41,242760
437,I Knew You Were Trouble.,Red (Deluxe Edition),4,0.00454,0.622,0.469,-6.798,77.019,0.679,59,219720
438,All Too Well,Red (Deluxe Edition),5,0.0382,0.602,0.609,-7.803,93.06,0.337,59,329160
439,22,Red (Deluxe Edition),6,0.00215,0.661,0.729,-6.561,103.987,0.668,59,232120
440,I Almost Do,Red (Deluxe Edition),7,0.0173,0.567,0.481,-7.357,145.865,0.233,43,244560
441,We Are Never Ever Getting Back Together,Red (Deluxe Edition),8,0.00957,0.628,0.676,-5.911,85.984,0.75,59,193146
442,Stay Stay Stay,Red (Deluxe Edition),9,0.307,0.729,0.748,-6.67,99.981,0.928,43,205853
443,The Last Time,Red (Deluxe Edition),10,0.035,0.505,0.443,-7.039,94.069,0.123,45,299013
444,Holy Ground,Red (Deluxe Edition),11,0.0162,0.627,0.816,-6.698,157.043,0.648,41,202960
445,Sad Beautiful Tragic,Red (Deluxe Edition),12,0.632,0.624,0.34,-12.411,129.987,0.261,40,284866
446,The Lucky One,Red (Deluxe Edition),13,0.0371,0.706,0.499,-7.675,117.937,0.545,40,240266
447,Everything Has Changed,Red (Deluxe Edition),14,0.36,0.624,0.458,-6.755,80.016,0.436,52,245413
448,Starlight,Red (Deluxe Edition),15,0.0213,0.649,0.777,-5.804,126.018,0.587,41,220600
449,Begin Again,Red (Deluxe Edition),16,0.199,0.53,0.526,-8.349,79.025,0.323,45,239426
450,The Moment I Knew,Red (Deluxe Edition),17,0.187,0.619,0.506,-7.327,126.03,0.274,38,286613
451,Come Back...Be Here,Red (Deluxe Edition),18,0.00471,0.483,0.548,-6.291,79.926,0.217,43,223920
452,Girl At Home,Red (Deluxe Edition),19,0.272,0.733,0.59,-5.86,125.048,0.633,37,220840
453,Treacherous - Original Demo Recording,Red (Deluxe Edition),20,0.175,0.828,0.64,-8.248,109.993,0.519,34,240266
454,Red - Original Demo Recording,Red (Deluxe Edition),21,0.113,0.678,0.902,-4.659,124.998,0.637,36,227080
455,State Of Grace - Acoustic,Red (Deluxe Edition),22,0.664,0.626,0.118,-15.91,105.597,0.0682,37,323080
456,State Of Grace,Red,1,0.000197,0.588,0.825,-5.882,129.968,0.397,40,295186
457,Red,Red,2,0.0773,0.602,0.896,-4.267,124.978,0.641,58,220826
458,Treacherous,Red,3,0.101,0.705,0.621,-8.086,109.993,0.395,38,240773
459,I Knew You Were Trouble.,Red,4,0.00454,0.622,0.469,-6.798,77.019,0.679,61,217973
460,All Too Well,Red,5,0.0382,0.602,0.609,-7.803,93.06,0.337,44,327893
461,22,Red,6,0.00215,0.658,0.729,-6.561,104.007,0.668,53,230133
462,I Almost Do,Red,7,0.0173,0.567,0.481,-7.357,145.865,0.233,39,242573
463,We Are Never Ever Getting Back Together,Red,8,0.00957,0.628,0.676,-5.911,85.984,0.75,59,191880
