hour,comments_in_hour,cumulative_comments
1,57,57
2,48,105
3,34,139
4,39,178
5,91,269
6,81,350
7,154,504
8,148,652
9,148,800
10,105,905
11,120,1025
12,98,1123
13,112,1235
14,146,1381
15,121,1502
16,94,1596
17,118,1714
18,95,1809
19,109,1918
20,47,1965
21,33,1998
22,22,2020
23,21,2041
24,9,2050
25,22,2072
26,14,2086
27,1,2087
28,9,2096
29,1,2097
30,4,2101
31,2,2103
32,3,2106
33,2,2108
34,4,2112
35,5,2117
36,4,2121
